label,n,n1,abs1,ex1,t1,exw1,ndays1,lo1,hi1,win1,n5,abs5,ex5,t5,exw5,ndays5,lo5,hi5,win5,n10,abs10,ex10,t10,exw10,ndays10,lo10,hi10,win10,n20,abs20,ex20,t20,exw20,ndays20,lo20,hi20,win20,n60,abs60,ex60,t60,exw60,ndays60,lo60,hi60,win60
【基准】全市场可交易样本,9272253,9261651,0.0006972471019253135,-1.4827713709641976e-11,-0.8993827163795464,-1.2789561076864686e-11,2870,-4.180683577104105e-11,1.4981616641707163e-11,0.4824292434643446,9240477,0.003252417780458927,3.302597778587213e-11,0.5456158250042393,1.722487430466657e-11,2866,-4.273396220222381e-11,8.000765328031179e-11,0.4871341409687592,9214048,0.006337546743452549,-2.6496565358469226e-11,-0.5913454014715231,-2.7379232561686173e-11,2861,-1.2096262880234576e-10,6.689776510526713e-11,0.49030316580015665,9161268,0.01231915969401598,-1.0659687021963293e-10,-1.8635993723752915,-1.2174772301420944e-10,2851,-2.391164211079655e-10,3.9175238573940785e-12,0.48497673650621914,8951156,0.032034628093242645,-1.6364855304207282e-10,-1.1099736873879469,-1.277336986182931e-10,2811,-3.5453981417354896e-10,9.594711136706735e-11,0.45948066775140844
MACD翻红 (不限量能),366306,365364,0.0008949734619818628,-0.00025647503207437694,-3.5985515737742793,-0.0007729468052275479,2865,-0.0011573348892852664,-0.00038006744580343366,0.47074303997204525,364661,0.0028993019368499517,-0.0008881424437277019,-10.831032553873847,-0.004318280145525932,2861,-0.005039762705564499,-0.003583939978852868,0.47986928961032577,363862,0.007073851302266121,-0.00019714146037586033,-10.198493888734067,-0.005369691178202629,2856,-0.006348904222249985,-0.004325198940932751,0.49576583512145583,361777,0.013926506973803043,-0.0005508584436029196,-10.115624847602332,-0.007058494258671999,2846,-0.008532711304724216,-0.0057055107317864895,0.49347540034834264,354026,0.038135822862386703,-0.0005776563775725663,-9.068898822600802,-0.009835083037614822,2806,-0.012010911479592323,-0.007643366698175669,0.4684444153248923
MACD翻红 + 缩量 VR<0.8,69049,68962,0.00019686254381667823,-0.00017966343148145825,-1.9336889920824483,-0.0008310196571983397,2657,-0.0017462364630773664,0.00013061423669569194,0.4706802415675824,68850,0.003029273124411702,-0.0003756112128030509,-3.253864451001643,-0.002403879538178444,2653,-0.0038007739931344986,-0.0009223968954756856,0.49055018899622005,68709,0.008155719377100468,0.00018835891387425363,-3.091125071339697,-0.003008425934240222,2649,-0.004757462535053492,-0.0008923767600208521,0.511651146287419,68315,0.016684096306562424,0.0007569370209239423,-1.9401831280999187,-0.002572566270828247,2639,-0.0053307050839066505,0.00014626397751271725,0.5218323219742502,66383,0.04857718572020531,-0.0014092079363763332,-2.895653015319208,-0.006262687034904957,2600,-0.010232831351459026,-0.001982414163649082,0.49628524670885893
MACD翻红 + VR 0.8-1.1,91716,91446,0.0009600708726793528,-4.810225073015317e-05,-3.865015167151581,-0.0010391876567155123,2762,-0.0016266601160168648,-0.000553753285203129,0.47560949016529286,91267,0.002797449938952923,2.8731701604556292e-06,-5.701997899930616,-0.0032300464808940887,2758,-0.004234911408275366,-0.002096763579174876,0.48256574643464606,91048,0.007915260270237923,0.0018533713882789016,-3.4368694832709097,-0.0026564830914139748,2753,-0.004329259041696787,-0.0012109014205634594,0.5054952243883292,90493,0.0159197598695755,0.00281343050301075,-3.726528548301622,-0.004011824261397123,2743,-0.006157662253826857,-0.0019807645585387945,0.5059531597540233,88013,0.04073620215058327,0.0021493625827133656,-4.078879239942576,-0.007359059061855078,2703,-0.010910963639616966,-0.00372736225835979,0.47367961969558203
MACD翻红 + VR 1.1-1.5,90153,89908,0.0015162117779254913,4.8984209570335224e-05,-3.663400926857919,-0.0009331759065389633,2814,-0.00146411859896034,-0.0004535919288173318,0.47886370947167595,89745,0.004177066497504711,-0.0003280299133621156,-8.964983780955189,-0.004718833602964878,2810,-0.00576620502397418,-0.0037291590124368668,0.4885472474571007,89533,0.008195243775844574,0.000953627866692841,-6.572618776698774,-0.0050561632961034775,2805,-0.0067343213595449924,-0.003531863447278738,0.5009705722493982,89006,0.014534440822899342,-0.0001962691021617502,-7.388880560042333,-0.00714978389441967,2795,-0.008968164213001728,-0.005074028857052326,0.49406009783368277,87131,0.032304465770721436,-0.00026506136055104434,-7.277151511801149,-0.011042694561183453,2755,-0.013929604552686214,-0.00788605585694313,0.45829867003871194
MACD翻红 + VR>=1.5,113270,112930,0.0006166671519167721,-0.0007347823702730238,-1.9917290257298865,-0.0006490628002211452,2849,-0.0012718286598101258,2.2936617824598216e-05,0.4575704069921427,112681,0.002443373668938875,-0.0024541537277400494,-7.493716728553793,-0.004610826261341572,2845,-0.00566759193316102,-0.003304786514490843,0.4677849386421824,112454,0.004463961347937584,-0.003086195793002844,-8.61315087127114,-0.006252899765968323,2840,-0.007596110459417105,-0.004749104380607605,0.47305553103204734,111845,0.010569707490503788,-0.004445547237992287,-8.341517155040945,-0.008058488368988037,2830,-0.01009694579988718,-0.006137076765298843,0.4681645625496601,110381,0.03031975030899048,-0.002304891822859645,-5.727433694898311,-0.008695698343217373,2790,-0.011637743562459946,-0.005802128463983536,0.44785026926812044
MACD翻红 + VR>1.1,203423,202838,0.0010153906187042594,-0.0003873776295222342,-2.9639854560614634,-0.0007276788237504661,2854,-0.001183600747026503,-0.0002720113843679428,0.46700717224699273,202426,0.0032120016403496265,-0.0015115425921976566,-10.338593938027294,-0.004740014206618071,2850,-0.005675115622580051,-0.003943166695535183,0.4769863781381653,201987,0.006117893848568201,-0.0012954986887052655,-9.677279063604592,-0.005900316406041384,2845,-0.007037603296339512,-0.004721770528703928,0.48542691829340834,200851,0.012326656840741634,-0.0025625028647482395,-9.900773208546735,-0.00784562062472105,2835,-0.00943458080291748,-0.006160065531730652,0.4796409452225166,197512,0.031195295974612236,-0.0014050352619960904,-7.901102840288736,-0.009965118020772934,2795,-0.012286842800676823,-0.007380375172942877,0.45248079125762575
MACD翻红 + VR>1.2,176266,175744,0.0009365975856781006,-0.0004860099288634956,-2.9949077895593903,-0.0007694701198488474,2852,-0.0012486634077504277,-0.0002357411285629496,0.46472944300091906,175378,0.003048977814614773,-0.0018506026826798916,-10.152179180336073,-0.0048776245675981045,2848,-0.005787439178675413,-0.0038251574151217937,0.47416404751909047,175003,0.005689901765435934,-0.0018081808229908347,-9.652739308046723,-0.006087503861635923,2843,-0.007319306489080191,-0.00475403293967247,0.4816186899345308,174036,0.011824180372059345,-0.0032496287021785975,-9.627181881485498,-0.008036429062485695,2833,-0.00959531869739294,-0.006367390509694815,0.47606458420795844,171344,0.030814945697784424,-0.0017449470469728112,-7.689716662960706,-0.010125866159796715,2793,-0.012439058162271976,-0.007554105948656797,0.45069951096638033
MACD翻红 + VR>2.0,55922,55728,8.573623927077278e-05,-0.0010138804791495204,-1.8727490897550514,-0.0009195167804136872,2805,-0.0017712655244395137,-1.032194086292293e-05,0.4476771217052323,55594,0.0004277017724234611,-0.0033197749871760607,-5.300130836336385,-0.005006487015634775,2801,-0.006540386006236076,-0.0030451673083007336,0.45565251600443474,55492,0.0018790846224874258,-0.004499303642660379,-7.022065281867067,-0.007219817489385605,2796,-0.009115368127822876,-0.005443228408694267,0.45786989020421304,55188,0.007128528784960508,-0.00553664518520236,-7.315018589378988,-0.008933565579354763,2786,-0.01106458343565464,-0.006262922193855047,0.4543650084045635,54573,0.028362710028886795,-0.0026600088458508253,-4.325811620735469,-0.008502757176756859,2746,-0.012758166529238224,-0.00483365822583437,0.44002360430599763
MACD金叉 + 放量 VR>1.1,203423,202838,0.0010153906187042594,-0.0003873776295222342,-2.9639854560614634,-0.0007276788237504661,2854,-0.0012045677285641432,-0.0002259562024846673,0.46700717224699273,202426,0.0032120016403496265,-0.0015115425921976566,-10.338593938027294,-0.004740014206618071,2850,-0.005582852754741907,-0.0038601993583142757,0.4769863781381653,201987,0.006117893848568201,-0.0012954986887052655,-9.677279063604592,-0.005900316406041384,2845,-0.007116639520972967,-0.004762719850987196,0.48542691829340834,200851,0.012326656840741634,-0.0025625028647482395,-9.900773208546735,-0.00784562062472105,2835,-0.009340264834463596,-0.0062897345051169395,0.4796409452225166,197512,0.031195295974612236,-0.0014050352619960904,-7.901102840288736,-0.009965118020772934,2795,-0.012661350890994072,-0.007286726962774992,0.45248079125762575
MACD金叉 + 缩量 VR<1.0,131391,131119,0.0005234304117038846,-0.00010634354111971334,-2.9864442583427295,-0.0009037097916007042,2774,-0.0015136918518692255,-0.00037343180156312883,0.4724676728238616,130881,0.002818017965182662,-0.0001757689460646361,-3.386808473799113,-0.0022961394861340523,2770,-0.003518040059134364,-0.000938552082516253,0.4860606890882937,130583,0.008054797537624836,0.0010751810623332858,-2.2739925799695366,-0.001956891268491745,2765,-0.0034624035470187664,-0.0002688988170120865,0.5088324162233334,129791,0.01668955758213997,0.002061112318187952,-2.7416051839313798,-0.0029663601890206337,2755,-0.005280098877847195,-0.0007604454294778407,0.5159029157248214,126084,0.04592395946383476,0.0007499162456952035,-3.629432648827049,-0.006172604393213987,2715,-0.009272986091673374,-0.0030870111659169197,0.48706532410895725
