model,n,mean20,median20,win20,p10_20,p90_20,exw20,t20,lo20,hi20
FULL 完整模型,68959,0.012091193348169327,-0.002693977439776063,0.4858104090836584,-0.12304246425628662,0.15679574012756348,-0.003741287160664797,-3.5392108376645015,-0.005531019065529108,-0.0017331899143755436
- MACD,1512614,0.0056379749439656734,-0.006396610289812088,0.4681300054078569,-0.12431589514017105,0.1422402411699295,-0.0025743625592440367,-5.103924930054997,-0.003635972738265991,-0.001692565274424851
- Momentum(ret20<10%),75518,0.01190889347344637,-0.0033262083306908607,0.4833946873593051,-0.12547534704208374,0.1586550772190094,-0.005464239977300167,-5.65886202939212,-0.00735588138923049,-0.0038490258157253265
- PricePos(|距MA20|<5%),82703,0.010030875913798809,-0.004938227590173483,0.4778061255335357,-0.13506513833999634,0.16322161257266998,-0.006338371895253658,-6.340076452198143,-0.008360537700355053,-0.0043374341912567616
- Volume(vt_5_20<1.2),87117,0.012791366316378117,-0.0020747000817209482,0.48869910580024567,-0.12316305190324783,0.1585472673177719,-0.005467567127197981,-5.2881009403844494,-0.007241515908390284,-0.0034628803841769695
- RS(rs_mkt20>0),245952,0.014232165180146694,0.0011983357835561037,0.5024476320582878,-0.12408152967691422,0.15581250190734863,-0.0034644471015781164,-3.9604130546580003,-0.005097678396850824,-0.001856537419371307
仅 MACD金叉,396888,0.01307841669768095,-0.0017209990182891488,0.49115619519864545,-0.14260941743850708,0.17452873289585114,-0.007277726661413908,-10.643589093891721,-0.00858388002961874,-0.0061163529753685
仅 MACD,396888,0.01307841669768095,-0.0017209990182891488,0.49115619519864545,-0.14260941743850708,0.17452873289585114,-0.007277726661413908,-10.643589093891721,-0.00858388002961874,-0.0061163529753685
仅 Momentum(ret20<10%),8263968,0.011620407924056053,-0.0019608326256275177,0.489276216945661,-0.12745720148086548,0.15760870277881622,0.0015536878490820527,6.9210740178049575,0.0010649446630850434,0.0019561441149562597
仅 PricePos(|距MA20|<5%),6290205,0.00770735926926136,-0.004769413266330957,0.47634631939658567,-0.12562814354896545,0.14559997618198395,-0.002132765017449856,-5.357571444671846,-0.0029024179093539715,-0.00146161497104913
仅 Volume(vt_5_20<1.2),7842464,0.009803288616240025,-0.003662938019260764,0.48266781970564354,-0.13443835079669952,0.16129040718078613,0.0011900847312062979,11.42693645143324,0.0009752469486556947,0.0013803030597046018
仅 RS(rs_mkt20>0),4238664,0.006778112147003412,-0.010095693171024323,0.4598420634426319,-0.15161293745040894,0.17453832924365997,-0.004469325300306082,-12.573699035718755,-0.005053049419075251,-0.0038064129184931517
