step,n,n_ok,mean20,win20,exw20,t20,d_n,d_exw
① 全部股票(clean),10212910,10212910,0.01104911882430315,0.4828541522445611,-7.246108574276988e-11,-1.1974284383342706,,
② MACD事件(金叉),396888,396888,0.013078417629003525,0.49115619519864545,-0.007277726661413908,-10.643589093891721,-9816022.0,-0.007277726588952822
③ + Volume Structure(量温和),324360,324360,0.012979724444448948,0.49378776667899865,-0.006491491105407476,-9.227212054383143,-72528.0,0.0007862355560064316
④ + Price Position(不过热),253869,253869,0.014170189388096333,0.5016484879997164,-0.003608487546443939,-4.1646632738515414,-70491.0,0.002883003558963537
⑤ + Momentum(过去20日<10%),245952,245952,0.014232165180146694,0.5024476320582878,-0.0034644471015781164,-3.9604130546580003,-7917.0,0.0001440404448658228
⑥ + Volatility(低波动),162579,162579,0.012866536155343056,0.5014608282742543,-0.001596740330569446,-1.9225583229763517,-83373.0,0.0018677067710086703
⑦ + Relative Strength(RS>0),43609,43609,0.008817174471914768,0.4757733495379394,-0.0010663530556485057,-0.9296936261670938,-118970.0,0.0005303872749209404
⑧ + 市值中性(排除D1),36886,36886,0.008802204392850399,0.4767933633356829,-0.0014514864888042212,-1.1710200432329207,-6723.0,-0.00038513343315571547
⑨ + 行业中性(RS_ind>0),27290,27290,0.009604987688362598,0.48164162696958596,-0.0018145468784496188,-1.2841217140807832,-9596.0,-0.00036306038964539766
⑩ + 样本外(2025-2026),3288,3288,0.017396092414855957,0.5039537712895377,-0.004059694241732359,-0.6664583962028545,-24002.0,-0.00224514736328274
