factor,name,horizon,n_days,ic_mean,ic_std,ir,t,pos_rate,ic_abs_mean
hist_z,MACD柱位置(标准化),20日,2792,-0.027109730611674102,0.119206476326695,-0.227418269938436,-12.016640214677372,0.4032951289398281,0.09514495415890337
hist_z,MACD柱位置(标准化),60日,2752,-0.029774952158823552,0.105595846081867,-0.2819708659348157,-14.792052952094041,0.38699127906976744,0.0867082117920109
dhist1_z,MACD柱斜率(标准化),20日,2792,-0.002342046858265434,0.10921285115149244,-0.021444791831473294,-1.1331294886168415,0.49355300859598855,0.08311307873429592
dhist1_z,MACD柱斜率(标准化),60日,2752,-0.0056173639031960165,0.09425358913152002,-0.05959840845272887,-3.126503196600082,0.47093023255813954,0.07290185978497245
vr20m,量比 VR20(Mean),20日,2831,-0.022999379962843878,0.08975106274055801,-0.2562574666032404,-13.634727510905293,0.37937124690921936,0.07177048376969904
vr20m,量比 VR20(Mean),60日,2791,-0.02128374214829573,0.0763981614925312,-0.2785897164603426,-14.717871254288589,0.37477606592619134,0.06294634088012686
rvol20,RVOL20(Median),20日,2831,-0.025926522749982334,0.08958128404743275,-0.289418967652377,-15.399156218684691,0.36453549982338396,0.0726531908903427
rvol20,RVOL20(Median),60日,2791,-0.022235681236016918,0.07474859458607208,-0.2974729004491557,-15.715468273839583,0.3629523468290935,0.061788467661131136
rvol60,RVOL60(Median),20日,2791,-0.04580936084673474,0.10096757635860544,-0.4537036789318794,-23.969127141371136,0.31852382658545325,0.08761803970667542
rvol60,RVOL60(Median),60日,2751,-0.042962631101157604,0.08658954987146165,-0.4961641579721078,-26.023798260940417,0.28098873137041075,0.07577402361783929
volz20,成交量Z分数,20日,2831,-0.025302384235305158,0.08918576096189267,-0.28370430394282753,-15.095095293050061,0.3701872129989403,0.07260150616387902
volz20,成交量Z分数,60日,2791,-0.022610577591315094,0.07562024703808126,-0.29900163616139386,-15.796231252747878,0.3658187029738445,0.06271636978269861
vt_5_20,量能趋势 VOL5/VOL20,20日,2832,-0.02757303866169437,0.09270968329444532,-0.2974127154994435,-15.827275308814597,0.3654661016949153,0.07595981607152402
vt_5_20,量能趋势 VOL5/VOL20,60日,2792,-0.02565352268709418,0.077836513818264,-0.32958211292698847,-17.41491426044583,0.35744985673352436,0.06582526169208865
dvt5,量能趋势5日变化,20日,2827,-0.004966171293786594,0.07585632058857081,-0.06546812784029024,-3.480910251895886,0.4672798019101521,0.05937230476277446
dvt5,量能趋势5日变化,60日,2787,-0.003597803950656916,0.0669843296175976,-0.05371112872512394,-2.8355203168834966,0.4635809113742375,0.052127702117162916
vchg1,成交量日变化,20日,2850,-0.002179559203954353,0.0713689268898723,-0.03053932991479022,-1.6303540763240794,0.4824561403508772,0.05451640568656178
vchg1,成交量日变化,60日,2810,-0.0017305428173598235,0.06302950258905754,-0.02745607606397739,-1.4554310279277625,0.48362989323843414,0.04840321296568124
upvol_r20,上涨日成交量占比20日,20日,2831,-0.04643131864705914,0.1103081162322155,-0.4209238651969552,-22.39615602570288,0.3553514659131049,0.0923111242661266
upvol_r20,上涨日成交量占比20日,60日,2791,-0.048919945602685456,0.10271492397998287,-0.47626911170395253,-25.161257053976698,0.338946614116804,0.08695243404755816
ud_vol20,涨跌日均量比20日,20日,2831,-0.037820471642236515,0.06824344236970084,-0.5541993535048914,-29.48736390755968,0.28187919463087246,0.06224225601038572
ud_vol20,涨跌日均量比20日,60日,2791,-0.03701899954033942,0.06566078474824605,-0.5637916098973869,-29.785063261296056,0.3016839842350412,0.05933513419527827
px_ma20_pct,距MA20,20日,2842,-0.06121213607579562,0.14644635469301856,-0.4179833373395244,-22.28286381446714,0.34658691062631947,0.11985561153624631
px_ma20_pct,距MA20,60日,2802,-0.05405106835603803,0.1285408305335743,-0.4204972702577967,-22.258569314592354,0.36295503211991437,0.1064579437013398
px_h20,距20日最高,20日,2831,-0.0034487815453775393,0.15427539976555102,-0.02235470820765059,-1.1894301424162275,0.5531614270575769,0.1159879137734554
px_h20,距20日最高,60日,2791,0.015519273837929781,0.1306882874516968,0.11875030379953368,6.273568547093112,0.5969186671443927,0.10309558530812844
px_h60,距60日最高,20日,2791,-0.015654884457990313,0.16579052123899132,-0.09442569057023105,-4.988501279112302,0.5245431744894303,0.12760693631004746
px_h60,距60日最高,60日,2751,0.007381607966570324,0.14071493915837732,0.052457884079118174,2.751414769761569,0.5525263540530716,0.10892533498123587
ret5,过去5日收益,20日,2846,-0.036114143777405586,0.13186182008292296,-0.2738786993437126,-14.610857483449212,0.3977512297962052,0.10263355603703331
ret5,过去5日收益,60日,2806,-0.03403682728335912,0.11343649211016464,-0.30005183208860176,-15.89425279913694,0.387384176764077,0.09044134083269204
ret20,过去20日收益,20日,2831,-0.0701487242163638,0.15123469153183855,-0.4638401646198736,-24.679609679421766,0.3306252207700459,0.12724277063198425
ret20,过去20日收益,60日,2791,-0.06039841269015704,0.13011512789648863,-0.46419208639756476,-24.523228824318398,0.34754568255105694,0.11105923819040582
ret60,过去60日收益,20日,2791,-0.06772903698827135,0.1586518415921402,-0.4269035663789403,-22.553279452640133,0.33034754568255104,0.1348858758637079
ret60,过去60日收益,60日,2751,-0.05920332620834866,0.12474996997943472,-0.47457587539386537,-24.891493354208446,0.3340603416939295,0.1067203642001919
atr_pct,ATR/价格,20日,2837,-0.0836667078973918,0.19653432487679925,-0.42571040936406224,-22.674824661775947,0.3168840324286218,0.1699419467276968
atr_pct,ATR/价格,60日,2797,-0.11053236707965518,0.15977330479448207,-0.6918074782382077,-36.58739469665508,0.24597783339292098,0.15918592715297772
hv20,20日历史波动率,20日,2831,-0.0851589130377239,0.18637893286555243,-0.45691276223345856,-24.311022394340213,0.30554574355351466,0.16496144341520316
hv20,20日历史波动率,60日,2791,-0.11212628779015062,0.15151955017363444,-0.7400120160181247,-39.09477247316737,0.23324973127911142,0.15408859991518256
rs_mkt20,相对市场强弱20日,20日,2830,-0.0699866243745289,0.15101523218611534,-0.4634408288580814,-24.654006717834797,0.33074204946996466,0.12710084350733172
rs_mkt20,相对市场强弱20日,60日,2790,-0.06022964664885393,0.1298325611831394,-0.463902476389533,-24.5035378303818,0.34767025089605735,0.11090862908016329
rs_mkt60,相对市场强弱60日,20日,2790,-0.067703911740972,0.15867472683249295,-0.42668365084027854,-22.53762269462652,0.33046594982078853,0.13488481874446595
rs_mkt60,相对市场强弱60日,60日,2750,-0.05916981017203496,0.12476026640547627,-0.4742680652807402,-24.87082716354897,0.3341818181818182,0.106704123337878
rs_ind20,相对行业强弱20日,20日,2830,-0.060940127001406705,0.10822566878580882,-0.5630838569546223,-29.95479104909578,0.28833922261484096,0.09423862433614123
rs_ind20,相对行业强弱20日,60日,2790,-0.047318115494497714,0.09303690689608704,-0.5085951056750773,-26.864222647071585,0.3186379928315412,0.0799350536666857
rs_sz20,相对规模组强弱20日,20日,2811,-0.08064096332529297,0.1472698964018287,-0.5475726220738458,-29.03167869046515,0.28850942725008893,0.12901807878533175
rs_sz20,相对规模组强弱20日,60日,2771,-0.07361553615275591,0.12724179125297072,-0.5785484110829602,-30.45495541700067,0.3031396607722844,0.11464130948457889
beta60,60日Beta,20日,2791,-0.008413334343226107,0.21035657963812338,-0.03999558443904904,-2.112963356986461,0.4647079899677535,0.173073961551649
beta60,60日Beta,60日,2751,-0.029507598367106903,0.17574999497993413,-0.16789530133685562,-8.806104553799216,0.4038531443111596,0.14674086046785256
