factor,grp,n,exind5,t5,exind20,t20,exind60,t60
hist_z,Q3,512,-0.004617565311491489,-2.361129041218674,-0.002962581580504775,-0.6695812715008167,0.0026167493779212236,0.3111632609016851
hist_z,Q5(高),2061075,-0.0020305379293859005,-13.664436314946558,-0.004779279697686434,-19.419927124798807,-0.007452862802892923,-19.541653636473608
vr20m,Q3,514,0.001255042850971222,0.5631380603554563,-0.0032294774428009987,-0.7474820495920972,-0.010313901118934155,-1.3780166809424408
vr20m,Q5(高),2078181,-0.0018827945459634066,-15.245950442396191,-0.0036570194642990828,-18.670026639479765,-0.005540833808481693,-20.506433201967198
volz20,Q3,515,0.0013715721433982253,0.49136169403564833,0.005120104178786278,0.9453444631729707,0.009902212768793106,1.221505776452746
volz20,Q5(高),2078181,-0.0017545678419992328,-14.736848080413674,-0.0035293970722705126,-18.934668424764105,-0.005185173358768225,-19.267099910058306
dvt5,Q3,526,-0.000914083095267415,-0.4218454971870075,-0.0035203425213694572,-0.7588853977152116,0.0023484965786337852,0.2203021758772811
dvt5,Q5(高),2076442,-0.0010740917641669512,-11.67016692244126,-0.0022766322363168,-13.433546393093069,-0.002593845594674349,-11.159099387230926
rs_ind20,Q3,513,-0.0015339935198426247,-0.8529997328148015,-0.008637480437755585,-2.1011552537319713,-0.007101290859282017,-1.1875768025325941
rs_ind20,Q5(高),2077822,-0.003423066111281514,-16.967819805654816,-0.008367612957954407,-21.843189496457427,-0.012856367975473404,-24.72805523549295
rs_mkt20,Q3,508,-0.0008758540498092771,-0.4786729315687251,-0.0035358734894543886,-0.9210880258334766,-0.0002805090043693781,-0.037390890253096644
rs_mkt20,Q5(高),2077821,-0.003186485031619668,-17.485118668465013,-0.007786061614751816,-22.22948695233346,-0.012248337268829346,-25.203383247894482
事件,MACD金叉,404492,-0.0010971997398883104,-11.935388672687782,,,,
事件,MACD金叉,404492,,,-0.001320696552284062,-11.864312345786171,,
事件,MACD金叉,396888,,,,,-0.002503126859664917,-10.792147675673954
事件,柱连3日改善,5241291,-0.0003225288528483361,-9.651025945894352,,,,
事件,柱连3日改善,5241291,,,-0.00043542892672121525,-11.680253893856975,,
事件,柱连3日改善,5133138,,,,,-0.0009968193480744958,-13.256395935548253
事件,0轴下金叉,260983,-0.000620631908532232,-3.2892649545811414,,,,
事件,0轴下金叉,260983,,,0.0006414289237000048,-1.6491237871592261,,
事件,0轴下金叉,254186,,,,,-3.216234108549543e-05,-1.7226637881817546
