label,dim,grp,n,mean1,median1,win1,ex1,exw1,t1,ndays1,mean5,median5,win5,ex5,exw5,t5,ndays5,mean20,median20,win20,ex20,exw20,t20,ndays20,mean60,median60,win60,ex60,exw60,t60,ndays60
全样本,hist_z×vr20m,hist_z_Q5 × vr20m_Q5,976198,-0.0004972226452082396,-0.0028571602888405323,0.44653953398798196,-0.000964291684795171,-0.0009312606416642666,-5.714377460032048,2792,-0.0018980213208124042,-0.007978687062859535,0.43876959387337405,-0.004200187511742115,-0.004774371162056923,-15.31336105437711,2792,-0.0009229682618752122,-0.019520867615938187,0.42880542676793026,-0.009511732496321201,-0.01131904125213623,-21.1638221681878,2792,0.007902678102254868,-0.03806442767381668,0.41285134607392493,-0.01600683480501175,-0.017233803868293762,-24.962065007760824,2752
全样本,hist_z×px_ma20_pct,hist_z_Q5 × px_ma20_pct_Q5,1401971,-0.000329463102389127,-0.0024391282349824905,0.454177725502168,-0.0008392339805141091,-0.0008977410616353154,-5.710662114604032,2792,-0.0006421266589313745,-0.006864934228360653,0.44900928763861736,-0.003365639364346862,-0.0038366499356925488,-12.360516961160172,2792,0.0006686669657938182,-0.017857128754258156,0.43761104901599246,-0.009282021783292294,-0.010398444719612598,-18.24867466539563,2792,0.009046018123626709,-0.0375145860016346,0.41986391113264554,-0.014783364720642567,-0.015571895986795425,-20.074639285255543,2752
全样本,hist_z×px_h60,hist_z_Q5 × px_h60_Q5,907433,-0.0002246643853140995,-0.0020000457298010588,0.45466717652983746,-0.0007370112580247223,-0.0008586746989749372,-4.9308576204833905,2791,-0.0005390191217884421,-0.005279781762510538,0.4545746077120845,-0.003184942062944174,-0.003879247698932886,-10.626010150631751,2791,0.00047784429625608027,-0.01405627653002739,0.44554473994223265,-0.008435502648353577,-0.009662318974733353,-14.673878735014249,2791,0.009078888222575188,-0.02985166385769844,0.4299927994131858,-0.01209797989577055,-0.013368909247219563,-14.257901135542651,2751
全样本,hist_z×ret20,hist_z_Q5 × ret20_Q5,1068029,-0.0006223799427971244,-0.002803061855956912,0.45156639005120647,-0.0011202457826584578,-0.0011878377990797162,-6.6689178017729995,2792,-0.001641549519263208,-0.008474568836390972,0.44138314596326506,-0.004497865214943886,-0.005002313293516636,-14.383131146296705,2792,-0.0008366017136722803,-0.021125856786966324,0.4293975163595745,-0.011593210510909557,-0.012920386157929897,-19.903247641035712,2792,0.006020478438585997,-0.04255315288901329,0.41226569633042315,-0.01818697713315487,-0.018932215869426727,-21.759883605303575,2752
全样本,hist_z×rs_mkt20,hist_z_Q5 × rs_mkt20_Q5,1068029,-0.0006223799427971244,-0.002803061855956912,0.45156639005120647,-0.0011202457826584578,-0.0011878377990797162,-6.6689178017729995,2792,-0.001641549519263208,-0.008474568836390972,0.44138314596326506,-0.004497865214943886,-0.005002313293516636,-14.383131146296705,2792,-0.0008366017136722803,-0.021125856786966324,0.4293975163595745,-0.011593210510909557,-0.012920386157929897,-19.903247641035712,2792,0.006020478438585997,-0.04255315288901329,0.41226569633042315,-0.01818697713315487,-0.018932215869426727,-21.759883605303575,2752
全样本,hist_z×rs_ind20,hist_z_Q5 × rs_ind20_Q5,996523,-0.0006140171317383647,-0.0026455072220414877,0.4536704120226026,-0.0011925117578357458,-0.0012834703084081411,-7.9357168676734835,2792,-0.001582244411110878,-0.008021394722163677,0.4444955108913693,-0.00473074521869421,-0.005280137527734041,-16.741956263163086,2792,2.6119627364096232e-05,-0.019876303151249886,0.43375416322553517,-0.011104589328169823,-0.01252846047282219,-21.538143197373806,2792,0.0070356042124331,-0.041916146874427795,0.41524814756891737,-0.01727095991373062,-0.01832088828086853,-23.46671397751671,2752
全样本,hist_z×hv20,hist_z_Q5 × hv20_Q5,553996,-0.0010551857994869351,-0.004092783201485872,0.44811875898020925,-0.0015153232961893082,-0.0015524592017754912,-6.832708864332513,2792,-0.0027731864247471094,-0.013812169432640076,0.42679189019415303,-0.005499415565282106,-0.006244482006877661,-15.187704100510523,2792,-0.004130920395255089,-0.03497152030467987,0.40657333265944157,-0.01446419395506382,-0.01647155173122883,-20.96776718217019,2792,-0.006329848896712065,-0.0708429142832756,0.3726517810415058,-0.02917545475065708,-0.03064611554145813,-29.688330094502483,2752
全样本,hist_z×volz20,hist_z_Q5 × volz20_Q5,910486,-0.0005641992902383208,-0.0028538908809423447,0.4463791865003965,-0.0009626307291910052,-0.0008910026517696679,-5.360882103809433,2792,-0.0020554247312247753,-0.007792983204126358,0.4398870493340919,-0.004238485358655453,-0.0047741844318807125,-15.095145898765427,2792,-0.001475005061365664,-0.019394423812627792,0.42899726080357087,-0.009710823185741901,-0.011301977559924126,-20.9612911932538,2792,0.008051233366131783,-0.036809783428907394,0.41519513995700524,-0.01612100377678871,-0.017166737467050552,-24.231505600566965,2752
全样本,hist_z×dvt5,hist_z_Q5 × dvt5_Q5,860449,-0.0003459363360889256,-0.0023584298323839903,0.4501382417784203,-0.0008158603450283408,-0.000965018174611032,-6.705742619754914,2792,-0.0007793367258273065,-0.006134988274425268,0.44816136691425057,-0.00305794645100832,-0.003755336394533515,-13.210666331368524,2792,0.0011522324057295918,-0.015804054215550423,0.43941244629257514,-0.00740238931030035,-0.009156457148492336,-18.5065233406678,2792,0.011947540566325188,-0.032873593270778656,0.42288418180784754,-0.011730785481631756,-0.013477402739226818,-20.368380335386536,2752
全样本,vr20m×px_h60,vr20m_Q5 × px_h60_Q5,752217,-0.0002180228038923815,-0.0023229187354445457,0.4514574916546688,-0.0007142711547203362,-0.0007321883458644152,-4.338758925638707,2791,-0.0013701500138267875,-0.006337136961519718,0.44773914974003515,-0.003728287760168314,-0.004281015135347843,-12.395639209769415,2791,-0.0007219318649731576,-0.01639348268508911,0.43744956575030874,-0.00907302275300026,-0.010649394243955612,-17.285589907686123,2791,0.007865620777010918,-0.03273812308907509,0.42260495156081807,-0.013026038184762001,-0.014571979641914368,-17.854182566386008,2751
