var,n_days,coef_mean,t,pos_rate
alpha,2791,0.009671021952721728,5.814901991951289,0.5460408455750627
_z_beta60[Beta],2791,0.002204392414989427,7.200422698858377,0.547832318165532
_z_hv20[Volatility],2791,-0.0023644214866706714,-7.783250700190324,0.3754926549623791
_z_rs_mkt20[RS],2791,-0.008799065032172463,-0.0539421072599269,0.505553565030455
_z_logamt[Size],2791,-0.006093040844330747,-16.721046204057796,0.34754568255105694
_z_dvt5[VolStruct],2791,-0.0003721582891466253,-3.0625275290983702,0.47330705840200643
_z_hist_z[MACD],2791,-0.0015965441394967886,-8.270182289565184,0.434969544965962
_z_ret20[Momentum],2791,0.0070494641552334165,0.04321744397861709,0.49337155141526334
_z_px_h60[PricePos],2791,-0.0001094530090993043,-0.42559773035237647,0.5514152633464708
_z_volz20[VolLevel],2791,0.0007260289733082574,3.920682262355854,0.5567896811178789
_z_vr20m[Turnover_代理],2791,-0.003355380753775901,-14.165429562309422,0.3339304908634898
