model,kind,n,mean20,exw20,t20
S3a 金叉+量温和+不过热,简单版本,253869,0.014170189388096333,-0.003608487546443939,-4.1646632738515414
S3b 金叉+量温和+没大涨,简单版本,282569,0.014967251569032669,-0.0035831136628985405,-3.6950642908980798
S4a 金叉+量温和+不过热+没大涨,简单版本,245952,0.014232165180146694,-0.0034644471015781164,-3.9604130546580003
S4b 金叉+量温和+不过热+RS>0,简单版本,75518,0.011908892542123795,-0.005464239977300167,-5.65886202939212
S5 金叉+量温和+不过热+没大涨+RS>0,简单版本,68959,0.012091194279491901,-0.003741287160664797,-3.5392108376645015
vt_5_20 < 1.1,邻域稳定性,59700,0.011510034091770649,-0.003792398376390338,-3.379043973877047
vt_5_20 < 1.2 [基准],邻域稳定性,68959,0.012091194279491901,-0.003741287160664797,-3.5392108376645015
vt_5_20 < 1.3,邻域稳定性,75360,0.012121179141104221,-0.004392840899527073,-4.2294466301570655
|距MA20| < 0.03,邻域稳定性,49640,0.012665366753935814,-0.0024869570042937994,-1.9634174208709079
|距MA20| < 0.05 [基准],邻域稳定性,68959,0.012091194279491901,-0.003741287160664797,-3.5392108376645015
|距MA20| < 0.08,邻域稳定性,79264,0.010774788446724415,-0.004891382995992899,-4.877566543263056
ret20 < 0.05,邻域稳定性,52719,0.01260342262685299,-0.003513150382786989,-2.934285877637779
ret20 < 0.10 [基准],邻域稳定性,68959,0.012091194279491901,-0.003741287160664797,-3.5392108376645015
ret20 < 0.15,邻域稳定性,74098,0.01206542830914259,-0.004250720608979464,-4.340815192154455
rs_mkt20 > -0.02,邻域稳定性,102105,0.013010441325604916,-0.004562700632959604,-5.002984345479588
rs_mkt20 > 0 [基准],邻域稳定性,68959,0.012091194279491901,-0.003741287160664797,-3.5392108376645015
rs_mkt20 > 0.02,邻域稳定性,43191,0.012025204487144947,-0.003946056589484215,-3.1375275846632786
