entry,train,test,best_exit,train_exw,test_n,test_mean,test_win,test_exw,test_t
EN1_MACD金叉,2015-2019,2020,XF_移动止盈12%,-0.005202949532071652,32170,0.02227877660685252,0.4150761579110973,0.0020608534796332846,0.4675437444281116
EN1_MACD金叉,2016-2020,2021,XA_固定持有5日,-0.003896831526969022,37490,0.0016768246838604292,0.47247265937583355,-0.003922992705500556,-5.134953524465252
EN1_MACD金叉,2017-2021,2022,XA_固定持有5日,-0.0033740001405230054,39481,-0.000925628478346324,0.4742534383627568,-0.004434869805285571,-5.268235872786067
EN1_MACD金叉,2018-2022,2023,XA_固定持有5日,-0.003971830170534929,45487,0.0002051737836248815,0.4652977773869457,-0.0019553715262168305,-2.7037696233092756
EN1_MACD金叉,2019-2023,2024,XA_固定持有5日,-0.003316824198641857,47034,0.008656132249337905,0.4480375898286346,-0.0064511412608434255,-4.2260807286583635
EN1_MACD金叉,2020-2024,2025,XE_固定止损-15%,-0.0007953127266235213,50298,0.07620214531067734,0.5737007435683328,0.027723026025355087,5.543096986382875
EN1_MACD金叉,2021-2025,2026,XE_固定止损-15%,0.002846264561200956,23239,-0.05500605917242892,0.2095184818623865,-0.07790670847824681,-10.814211682517584
EN2_0轴下金叉,2015-2019,2020,XG_MACD死叉,-0.0027657442104489635,19039,0.0022400072922874547,0.3270654971374547,-0.012654331770893935,-4.194263990350664
EN2_0轴下金叉,2016-2020,2021,XA_固定持有5日,-0.003899211464376632,23638,0.002646780619165004,0.48515102800575344,-0.002803404152820372,-3.3084052199562453
EN2_0轴下金叉,2017-2021,2022,XA_固定持有5日,-0.0032628933044151717,26494,0.001829778389518254,0.5004906771344455,-0.0023781894947842125,-2.427550317024133
EN2_0轴下金叉,2018-2022,2023,XE_固定止损-15%,-0.002322001835091381,31120,-0.00813863797374344,0.40067480719794346,-0.025468727544052508,-7.940515938316963
EN2_0轴下金叉,2019-2023,2024,XE_固定止损-15%,0.0003555852808106735,31149,0.10124674475721146,0.5419114578317121,0.03422292131868105,3.41482833943163
EN2_0轴下金叉,2020-2024,2025,XE_固定止损-15%,0.004602672606112119,28337,0.08703028643184862,0.6155556339767795,0.0319040026048242,6.046059818011938
EN2_0轴下金叉,2021-2025,2026,XE_固定止损-15%,0.010028701780557137,15191,-0.05901385608364513,0.21163847014679746,-0.0788266779205774,-10.621235229878318
EN3_0轴上金叉,2015-2019,2020,XA_固定持有5日,-0.00808489828634627,13131,0.007788998111365322,0.49813418627674966,0.0002080930753376827,0.1262715491674783
EN3_0轴上金叉,2016-2020,2021,XA_固定持有5日,-0.004540968441235409,13852,2.1625550253041588e-05,0.4508374241986717,-0.005825282997476609,-3.9904982804872793
EN3_0轴上金叉,2017-2021,2022,XA_固定持有5日,-0.0037281391893180375,12987,-0.006546768815391379,0.4207284207284207,-0.009239451725232335,-5.616987088187497
EN3_0轴上金叉,2018-2022,2023,XA_固定持有5日,-0.005618084728178016,14367,-0.003800707648779036,0.4088536228857799,-0.005569900170284881,-4.6460997778752375
EN3_0轴上金叉,2019-2023,2024,XA_固定持有5日,-0.005206477558771696,15885,-0.0021635985861924757,0.42008183821214984,-0.007493275849187458,-3.5083597632258305
EN3_0轴上金叉,2020-2024,2025,XA_固定持有5日,-0.005581004637448514,21961,0.0058936379736308254,0.49346568917626704,-0.004272510836905741,-3.5262548277212966
EN3_0轴上金叉,2021-2025,2026,XA_固定持有5日,-0.00647604402006204,10034,-0.004004575420630784,0.44020330875024916,-0.008249481070618877,-3.0106312160944224
