over_def,combo,H,n,gross,exw,t
hist_z<-1.5 (用户规格),hist_z<-1.5 (用户规格),5,59198,0.0015798247186467052,-0.0028191760648041964,-4.977686589370624
hist_z<-1.5 (用户规格),hist_z<-1.5 (用户规格),10,59186,0.0007101957453414798,-0.0032486391719430685,-3.67187195038731
hist_z<-1.5 (用户规格),hist_z<-1.5 (用户规格),20,59143,0.0035866391845047474,-0.003030166495591402,-2.4284765266148782
hist_z<-1.5 (用户规格),hist_z<-1.5 (用户规格) [不剔除D1],5,65799,0.001815674128010869,-0.002521150279790163,-4.438808167724569
hist_z<-1.5 (用户规格),hist_z<-1.5 (用户规格) [不剔除D1],10,65787,0.0010376493446528912,-0.002992190420627594,-3.4209986598109308
hist_z<-1.5 (用户规格),hist_z<-1.5 (用户规格) [不剔除D1],20,65744,0.004866554401814938,-0.002174726454541087,-1.7316582687822453
hist_z<-1.5 (用户规格),hist_z<-1.5 (用户规格) [无缩量],5,222308,0.0024588776286691427,-0.0023186428006738424,-5.100212258375147
hist_z<-1.5 (用户规格),hist_z<-1.5 (用户规格) [无缩量],10,222251,0.0006474747788161039,-0.003646440338343382,-5.315688892282111
hist_z<-1.5 (用户规格),hist_z<-1.5 (用户规格) [无缩量],20,222057,0.007855181582272053,-0.003712349571287632,-3.62423130748194
hist_z<-2.0,hist_z<-2.0,5,19665,0.0035367889795452356,-0.003700396278873086,-4.329763207095167
hist_z<-2.0,hist_z<-2.0,10,19663,0.0024750076700001955,-0.005833425559103489,-5.094793832632353
hist_z<-2.0,hist_z<-2.0,20,19658,0.006302784662693739,-0.005849259905517101,-3.664214523255715
hist_z<-2.0,hist_z<-2.0 [不剔除D1],5,22022,0.004078565165400505,-0.003963737282902002,-4.591378618584359
hist_z<-2.0,hist_z<-2.0 [不剔除D1],10,22020,0.003216383047401905,-0.006156477611511946,-5.3215754261193835
hist_z<-2.0,hist_z<-2.0 [不剔除D1],20,22015,0.008086347952485085,-0.005096753593534231,-3.200223426857751
hist_z<-2.0,hist_z<-2.0 [无缩量],5,81084,0.004330419469624758,-0.002853086916729808,-4.630265328134718
hist_z<-2.0,hist_z<-2.0 [无缩量],10,81078,0.0005733111756853759,-0.004887700546532869,-5.801849554996569
hist_z<-2.0,hist_z<-2.0 [无缩量],20,81032,0.010985808447003365,-0.006327298004180193,-5.184637631545569
hist_z<-1.0,hist_z<-1.0,5,145346,3.529630339471623e-05,-0.002514846622943878,-5.751672301428538
hist_z<-1.0,hist_z<-1.0,10,145260,-0.0010956201003864408,-0.002844922710210085,-4.3720990380121645
hist_z<-1.0,hist_z<-1.0,20,145020,0.0019237390952184796,-0.0026400883216410875,-2.910310022581715
hist_z<-1.0,hist_z<-1.0 [不剔除D1],5,162373,0.0002403094549663365,-0.002254805527627468,-5.264450142455324
