dim,dim_cn,decile,H,n,gross,exw,t
hist_z,MACD柱位置,1,5,1036116,0.0012070327065885067,-0.0017189240315929055,-6.458789619078612
hist_z,MACD柱位置,1,10,1033486,0.0029153218492865562,-0.0026450594887137413,-7.451374987259415
hist_z,MACD柱位置,1,20,1028188,0.008605440147221088,-0.0013506023678928614,-2.93939293711495
hist_z,MACD柱位置,1,60,1007122,0.023173322901129723,-0.0017698552692309022,-2.670337219987912
hist_z,MACD柱位置,2,5,1037527,0.0025213754270225763,-0.00013992097228765488,-0.7494687507422193
hist_z,MACD柱位置,2,10,1034878,0.005160618107765913,-6.383586151059717e-05,-0.26652067548480196
hist_z,MACD柱位置,2,20,1029575,0.010645066387951374,0.0008767539402469993,2.7911761578497765
hist_z,MACD柱位置,2,60,1008487,0.026758184656500816,0.002097466727718711,4.226040275713701
hist_z,MACD柱位置,3,5,1037803,0.0032069324515759945,0.0005606138147413731,4.151746312253823
hist_z,MACD柱位置,3,10,1035152,0.005913894157856703,0.0007625306607224047,4.3126108019833875
hist_z,MACD柱位置,3,20,1029866,0.011065460741519928,0.001337477588094771,5.5298520150448525
hist_z,MACD柱位置,3,60,1008754,0.02746380865573883,0.003233857685700059,8.300337436853304
hist_z,MACD柱位置,4,5,1037533,0.00352804665453732,0.0008916547521948814,7.849951638625765
hist_z,MACD柱位置,4,10,1034886,0.006487370003014803,0.0013709769118577242,8.949561707817777
hist_z,MACD柱位置,4,20,1029587,0.011825527995824814,0.0020811741705983877,9.93243450329027
hist_z,MACD柱位置,4,60,1008494,0.027643000707030296,0.0035773059353232384,10.859169191412395
hist_z,MACD柱位置,5,5,1037231,0.003778862999752164,0.001193496398627758,11.537818207357226
hist_z,MACD柱位置,5,10,1034582,0.006974498741328716,0.0018938338616862893,12.957174229802767
hist_z,MACD柱位置,5,20,1029296,0.012394743040204048,0.002638020785525441,13.19137607004332
hist_z,MACD柱位置,5,60,1008214,0.028295060619711876,0.004162690136581659,13.463500219569983
hist_z,MACD柱位置,6,5,1038094,0.003733040764927864,0.001121737528592348,10.708035181239733
hist_z,MACD柱位置,6,10,1035447,0.006941681727766991,0.0018090283265337348,12.32407481831662
hist_z,MACD柱位置,6,20,1030157,0.012410735711455345,0.0024061689618974924,12.0344881830602
hist_z,MACD柱位置,6,60,1009055,0.027876321226358414,0.0038339614402502775,12.259223023738583
hist_z,MACD柱位置,7,5,1037779,0.0036513207014650106,0.0009955692803487182,8.762703455146044
hist_z,MACD柱位置,7,10,1035127,0.007028029765933752,0.0017898572841659188,11.217651406972346
hist_z,MACD柱位置,7,20,1029830,0.012341584078967571,0.0021159807220101357,9.845781579090863
hist_z,MACD柱位置,7,60,1008752,0.026571881026029587,0.0023681193124502897,6.992133438632714
hist_z,MACD柱位置,8,5,1037560,0.003569285850971937,0.0008057532249949872,5.809575386467785
hist_z,MACD柱位置,8,10,1034909,0.00644432008266449,0.0011053255293518305,5.977129441704944
hist_z,MACD柱位置,8,20,1029618,0.011336992494761944,0.0009256890043616295,3.622901997377675
hist_z,MACD柱位置,8,60,1008535,0.02509138360619545,0.0008959127590060234,2.2988584472608142
hist_z,MACD柱位置,9,5,1037761,0.0028918441385030746,-4.123690086998977e-05,-0.21552175263211493
hist_z,MACD柱位置,9,10,1035103,0.005207520443946123,-0.00039628666127100587,-1.6192740274209814
hist_z,MACD柱位置,9,20,1029828,0.009008935652673244,-0.001769044902175665,-5.216307632200298
