variant,n,exw5,t5,exw10,t10,exw20,t20
距MA60<-10%,116257,-0.001184518332593143,-2.289775836959518,-0.0036697068717330694,-5.212403181177587,-0.004825333133339882,-4.357667363281885
距MA60<-15%,32914,-0.0008830769802443683,-1.0492292959877532,-0.0013389759697020054,-1.033164819663706,0.0008061950793489814,0.31790671462450015
距MA60<-20%,7246,0.0010599259985610843,0.8054932022816188,0.005570878740400076,2.6428889885646254,0.012164270505309105,2.840411367966863
距MA60<-25%,1531,0.0006179460906423628,0.2575935685467866,0.0027227553073316813,0.8353558367734798,0.00789004284888506,1.5046386546800112
距MA60<-30%,348,6.358054088195786e-05,0.013552256491502105,0.000707046827301383,0.10021515787517067,0.009099802002310753,0.8677031650296756
距MA60<-35%,93,-0.013506622985005379,-1.5818335338826235,-0.021755721420049667,-1.6504437153805451,-0.013746158219873905,-0.893549185285952
volz20<-1.0,571966,-0.0014396943151950836,-3.9161870223985895,-0.002279810141772032,-4.433412318442132,-0.003318407107144594,-4.496794075513833
volz20<-1.2,328364,-0.0010970428120344877,-2.8298414793037576,-0.0016999362269416451,-3.0313876540374514,-0.002029959112405777,-2.6019356540218315
volz20<-1.5,115801,-0.0012669648276641965,-2.7126920651752076,-0.002510421210899949,-4.101983251862453,-0.0023069095332175493,-2.548057008532391
volz20<-1.8,33785,-0.0016431441763415933,-2.2794871444637717,-0.002200106391683221,-2.4725467523259366,-0.0015359993558377028,-1.2508018693396494
volz20<-2.2,5632,-0.0017145700985565782,-1.7045618456012464,-0.0013841637410223484,-0.9436539698412316,-0.0006436515250243247,-0.31919852829888723
ret20<0%,571966,-0.0014396943151950836,-3.9161870223985895,-0.002279810141772032,-4.433412318442132,-0.003318407107144594,-4.496794075513833
ret20<-5%,336843,-0.0020560428965836763,-5.47710812670748,-0.0034748457837849855,-6.493535302954653,-0.004560123197734356,-5.750945387112702
ret20<-10%,129646,-0.0017850453732535243,-3.77408823345042,-0.0035814663860946894,-5.594947125795069,-0.00540692824870348,-6.000011844341
ret20<-15%,33942,-0.0006354685756377876,-0.8268682294721083,-0.001904206583276391,-2.0538623214052723,-0.0020161245483905077,-1.4694853165545978
ret20<-20%,6363,-0.0005184872425161302,-0.4318449987473728,-0.0009175934246741235,-0.5383321136477278,0.0014411498559638858,0.6021254923249443
