entry,exit,seg,n_sig,cagr,mdd,win,exw,t_exw,n_days
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有5日,训练2015-2022,35773,-0.2698258095986108,-0.9312253284521697,0.48911729141475213,-0.0016389914301707866,-6.6360348925194375,1947
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有5日,验证2023-2024,10003,-0.2292684979397136,-0.5103611897232526,0.44493392070484583,-0.0010896348254166523,-2.6071094947656976,484
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有5日,测试2025-2026,13604,-0.2707850072665261,-0.4571532832253409,0.4963680387409201,-0.002063968766688042,-4.780487218145234,418
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有10日,训练2015-2022,35773,-0.15741972594302978,-0.8041826948880516,0.508130081300813,-0.001087127603565512,-5.164203276085787,1947
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有10日,验证2023-2024,10003,-0.14039802604939589,-0.38043432758495854,0.46881720430107526,-0.0008361481955809083,-2.1785489608221127,484
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有10日,测试2025-2026,13604,-0.09697155572425187,-0.24938221810926908,0.5227817745803357,-0.0013149440848556097,-3.2020698005955492,418
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR2倍止损,训练2015-2022,35773,-0.15332642830680399,-0.7967060526693752,0.5090168702734148,-0.001084654734314101,-5.1154125998624655,1947
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR2倍止损,验证2023-2024,10003,-0.15253538648922182,-0.3767476128084223,0.46881720430107526,-0.0009084555293164587,-2.1608824727095897,484
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR2倍止损,测试2025-2026,13604,-0.1220684504361289,-0.28093736470539155,0.5179856115107914,-0.0014304646663221125,-3.4593474195473033,418
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR3倍止损,训练2015-2022,35773,-0.14702118439365153,-0.7848270035235553,0.5095874491574666,-0.0010591063702645727,-5.010255461171335,1947
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR3倍止损,验证2023-2024,10003,-0.14142202351788768,-0.3617070561488922,0.4731182795698925,-0.0008500209462492146,-2.1530514458596346,484
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR3倍止损,测试2025-2026,13604,-0.111113365649951,-0.2684515729066954,0.5227817745803357,-0.001378449121381745,-3.334472056940254,418
