entry,exit,train,test,n_sig,cagr,win,exw,t_exw
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有5日,2015-2019,2020,3382,-0.19070281028787361,0.5307017543859649,-0.001874676793751487,-2.164874103996883
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有5日,2016-2020,2021,4615,-0.18645098586034992,0.5102880658436214,-0.0018791853240305281,-5.209930838231636
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有5日,2017-2021,2022,7514,-0.5168770717267747,0.4767932489451477,-0.00236514248336194,-4.957336380171561
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有5日,2018-2022,2023,6680,-0.13440206456118864,0.4628099173553719,-0.001070958679742837,-2.7245528573141957
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有5日,2019-2023,2024,3323,-0.3137379100067226,0.42452830188679247,-0.0011109538218933655,-1.4322520363744777
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有5日,2020-2024,2025,9436,-0.23259821482774357,0.49794238683127573,-0.0025527738011128748,-4.973737873726328
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有5日,2021-2025,2026,4168,-0.3206793342969083,0.49411764705882355,-0.0013652650998337212,-1.8245620545761994
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有10日,2015-2019,2020,3382,0.1183698355009144,0.5390946502057613,-0.0003619772072212336,-0.5379712087827625
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有10日,2016-2020,2021,4615,-0.050721786766005805,0.5637860082304527,-0.0012688941128694167,-4.001058001761768
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有10日,2017-2021,2022,7514,-0.33082461486528036,0.5206611570247934,-0.001199545816519083,-2.4750906798250303
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有10日,2018-2022,2023,6680,-0.016899834231364985,0.48760330578512395,-0.0005734755748623561,-1.8622379849844695
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有10日,2019-2023,2024,3323,-0.2483822306732537,0.4484304932735426,-0.0011212009947463328,-1.540683198305877
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有10日,2020-2024,2025,9436,-0.09016349705902638,0.5185185185185185,-0.0018791185516897286,-4.0835198265732435
R0_完整(超跌+缩量+没涨+低波+非D1),XA_固定持有10日,2021-2025,2026,4168,-0.10634063231890356,0.5287356321839081,-0.0005270452604838231,-0.7093892824647313
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR2倍止损,2015-2019,2020,3382,0.1750256311941527,0.5394190871369294,-0.00046815918099946916,-0.6888946081336371
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR2倍止损,2016-2020,2021,4615,-0.061068883311683586,0.551440329218107,-0.0013126157831322067,-4.169916034560143
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR2倍止损,2017-2021,2022,7514,-0.3401455663411338,0.5289256198347108,-0.0012539935354176075,-2.586290565500494
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR2倍止损,2018-2022,2023,6680,-0.016826875577329203,0.49173553719008267,-0.0005731780123461255,-1.8557970176491216
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR2倍止损,2019-2023,2024,3323,-0.26951189641732265,0.4439461883408072,-0.0012722992921273138,-1.5699383073342206
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR2倍止损,2020-2024,2025,9436,-0.1305830835305073,0.51440329218107,-0.0020649020702468274,-4.432057406895786
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR2倍止损,2021-2025,2026,4168,-0.11010681239378772,0.5229885057471264,-0.0005444400160134599,-0.731773659893436
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR3倍止损,2015-2019,2020,3382,0.1617294168399277,0.5371900826446281,-0.00039705149089221597,-0.5887644661155849
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR3倍止损,2016-2020,2021,4615,-0.051043029800854955,0.5637860082304527,-0.0012702807155057008,-4.004553848209821
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR3倍止损,2017-2021,2022,7514,-0.33038706367716475,0.5206611570247934,-0.0011971695085865749,-2.4667005692620325
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR3倍止损,2018-2022,2023,6680,-0.016109443565387682,0.49173553719008267,-0.0005703400555146757,-1.8453885162070975
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR3倍止损,2019-2023,2024,3323,-0.2507742483357094,0.452914798206278,-0.001153531150544095,-1.5333110883336063
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR3倍止损,2020-2024,2025,9436,-0.11381276752603908,0.5185185185185185,-0.001984853170194467,-4.2487352518320245
R0_完整(超跌+缩量+没涨+低波+非D1),XD_ATR3倍止损,2021-2025,2026,4168,-0.10735141198228537,0.5287356321839081,-0.000531574501488116,-0.7158848031759759
R1_去低波,XA_固定持有5日,2015-2019,2020,15882,-0.4911849190876223,0.46473029045643155,-0.003585474563361005,-6.1359610400495255
R1_去低波,XA_固定持有5日,2016-2020,2021,17443,-0.28421259909468743,0.5020576131687243,-0.002351794264262269,-5.725807597347464
R1_去低波,XA_固定持有5日,2017-2021,2022,20362,-0.5541578296310257,0.4793388429752066,-0.0027700835486492155,-5.977116389200847
R1_去低波,XA_固定持有5日,2018-2022,2023,14003,-0.24121235467461943,0.4462809917355372,-0.0015793870516518753,-3.808289371967794
R1_去低波,XA_固定持有5日,2019-2023,2024,12592,-0.4181987475698281,0.42735042735042733,-0.0025981247671568166,-3.49475165731092
R1_去低波,XA_固定持有5日,2020-2024,2025,23680,-0.17115091225482792,0.4897119341563786,-0.0021908368644869298,-4.932415651283048
R1_去低波,XA_固定持有5日,2021-2025,2026,20018,-0.4804901442027606,0.47701149425287354,-0.0025846405602648103,-3.3276870058660664
R1_去低波,XA_固定持有10日,2015-2019,2020,15882,-0.25020587078181133,0.49382716049382713,-0.0018970895121391653,-4.554236288503888
R1_去低波,XA_固定持有10日,2016-2020,2021,17443,-0.11112797022996201,0.5432098765432098,-0.0014939861114484207,-4.097246759404626
R1_去低波,XA_固定持有10日,2017-2021,2022,20362,-0.4386624156747041,0.49586776859504134,-0.0018673100133622849,-4.8540929241247905
R1_去低波,XA_固定持有10日,2018-2022,2023,14003,-0.04995723785367712,0.48760330578512395,-0.0006920343442883848,-1.8918015022946826
R1_去低波,XA_固定持有10日,2019-2023,2024,12592,-0.20115806091866517,0.4669421487603306,-0.001178556573794807,-2.0337989872930717
R1_去低波,XA_固定持有10日,2020-2024,2025,23680,0.023472282552393642,0.522633744855967,-0.0013564005974483315,-3.2753076306935665
R1_去低波,XA_固定持有10日,2021-2025,2026,20018,-0.2535870209378315,0.5,-0.0011509726947966019,-1.627742146415004
R1_去低波,XD_ATR2倍止损,2015-2019,2020,15882,-0.24085978661060992,0.49382716049382713,-0.0018458760086616343,-4.43959737766303
R1_去低波,XD_ATR2倍止损,2016-2020,2021,17443,-0.11561495260295251,0.551440329218107,-0.0015137215628624736,-4.1451379234068355
R1_去低波,XD_ATR2倍止损,2017-2021,2022,20362,-0.4439291315685643,0.5,-0.001906230632080935,-4.873210128698498
R1_去低波,XD_ATR2倍止损,2018-2022,2023,14003,-0.053736194386994174,0.48760330578512395,-0.0007073944538075514,-1.9230711593769578
R1_去低波,XD_ATR2倍止损,2019-2023,2024,12592,-0.22600187697816398,0.4669421487603306,-0.0013120446817200889,-2.231053479118741
R1_去低波,XD_ATR2倍止损,2020-2024,2025,23680,-0.0005629335841614846,0.5308641975308642,-0.0014518012946458066,-3.5113446294265263
R1_去低波,XD_ATR2倍止损,2021-2025,2026,20018,-0.2589099314303541,0.5057471264367817,-0.0011807245787516531,-1.693021999125355
R1_去低波,XD_ATR3倍止损,2015-2019,2020,15882,-0.2430683359751471,0.49794238683127573,-0.0018590222498726812,-4.465246762633873
R1_去低波,XD_ATR3倍止损,2016-2020,2021,17443,-0.10856355626968195,0.5473251028806584,-0.0014824971774011328,-4.063632672010461
R1_去低波,XD_ATR3倍止损,2017-2021,2022,20362,-0.4379259417912502,0.49586776859504134,-0.0018629049456216022,-4.810372030007879
R1_去低波,XD_ATR3倍止损,2018-2022,2023,14003,-0.05140349160515656,0.48760330578512395,-0.0006980359249593773,-1.9041679073249327
R1_去低波,XD_ATR3倍止损,2019-2023,2024,12592,-0.21146381648628232,0.47107438016528924,-0.0012349577491806943,-2.1239886777452224
R1_去低波,XD_ATR3倍止损,2020-2024,2025,23680,0.020143132482233428,0.5267489711934157,-0.0013679996911938961,-3.2481305316058675
R1_去低波,XD_ATR3倍止损,2021-2025,2026,20018,-0.2554415515944931,0.5057471264367817,-0.0011609630745240494,-1.6457654677624622
R2_去没涨,XA_固定持有5日,2015-2019,2020,4091,-0.08640987097466346,0.5391304347826087,-0.0014023067797724977,-2.1016967116773215
R2_去没涨,XA_固定持有5日,2016-2020,2021,5288,-0.15749672841729256,0.5308641975308642,-0.001742784275961424,-5.198251694424612
R2_去没涨,XA_固定持有5日,2017-2021,2022,8032,-0.4644266349896976,0.502092050209205,-0.0019771768913481023,-4.014197475029383
R2_去没涨,XA_固定持有5日,2018-2022,2023,7514,-0.11057324842687799,0.47107438016528924,-0.0009621753550574694,-2.411178761239272
R2_去没涨,XA_固定持有5日,2019-2023,2024,3970,-0.2756255453054076,0.4558139534883721,-0.0011042235847612777,-1.3636081433796408
R2_去没涨,XA_固定持有5日,2020-2024,2025,10622,-0.2198957249214888,0.5061728395061729,-0.0024920000292422144,-5.0400747400582
R2_去没涨,XA_固定持有5日,2021-2025,2026,4501,-0.2892299876971747,0.4941860465116279,-0.0012901244352198089,-1.7475340960648595
R2_去没涨,XA_固定持有10日,2015-2019,2020,4091,0.10262856248649221,0.5390946502057613,-0.00042478888445975934,-0.6978446686834736
R2_去没涨,XA_固定持有10日,2016-2020,2021,5288,-0.02896517056311343,0.5432098765432098,-0.0011801440405150908,-3.91177539545153
R2_去没涨,XA_固定持有10日,2017-2021,2022,8032,-0.3025446367293255,0.5206611570247934,-0.0010364618952593827,-2.1639743024823366
R2_去没涨,XA_固定持有10日,2018-2022,2023,7514,0.00539301954874194,0.49173553719008267,-0.00048378086884831204,-1.5300512517791953
R2_去没涨,XA_固定持有10日,2019-2023,2024,3970,-0.1841021520165741,0.4711111111111111,-0.0010384249810684138,-1.3274072934920524
R2_去没涨,XA_固定持有10日,2020-2024,2025,10622,-0.04143834928344603,0.5267489711934157,-0.0016748217028794883,-3.5537027347164707
R2_去没涨,XA_固定持有10日,2021-2025,2026,4501,-0.08982351729774429,0.5287356321839081,-0.00045367795414808925,-0.6137479805111368
R2_去没涨,XD_ATR2倍止损,2015-2019,2020,4091,0.1299930365133033,0.5495867768595041,-0.0005117284313237633,-0.8331993564730762
R2_去没涨,XD_ATR2倍止损,2016-2020,2021,5288,-0.03868253739840466,0.5555555555555556,-0.0012202952716391373,-4.073194915899018
R2_去没涨,XD_ATR2倍止损,2017-2021,2022,8032,-0.313472174616544,0.5289256198347108,-0.0010978231889538852,-2.2922619649831217
R2_去没涨,XD_ATR2倍止损,2018-2022,2023,7514,0.005853892853787013,0.5,-0.00048180630027876424,-1.5173033968102247
R2_去没涨,XD_ATR2倍止损,2019-2023,2024,3970,-0.20973202151019488,0.4666666666666667,-0.001203473551524518,-1.4004768870812505
R2_去没涨,XD_ATR2倍止损,2020-2024,2025,10622,-0.08730848359472065,0.522633744855967,-0.001875390267674623,-3.9137473695489273
R2_去没涨,XD_ATR2倍止损,2021-2025,2026,4501,-0.09544773170700338,0.5172413793103449,-0.0004789543247514805,-0.6472492860023878
R2_去没涨,XD_ATR3倍止损,2015-2019,2020,4091,0.14511265351011948,0.5495867768595041,-0.00046072886169442603,-0.7547750043372029
R2_去没涨,XD_ATR3倍止损,2016-2020,2021,5288,-0.029234327934923643,0.5432098765432098,-0.001181283476363467,-3.914763250721887
R2_去没涨,XD_ATR3倍止损,2017-2021,2022,8032,-0.30262484900088915,0.5206611570247934,-0.0010372204978548426,-2.163325917900813
R2_去没涨,XD_ATR3倍止损,2018-2022,2023,7514,0.0061378066240611595,0.49586776859504134,-0.0004808485858587173,-1.5150942854590235
R2_去没涨,XD_ATR3倍止损,2019-2023,2024,3970,-0.18573422799980677,0.47555555555555556,-0.0010658019560399509,-1.3221121398655402
R2_去没涨,XD_ATR3倍止损,2020-2024,2025,10622,-0.06824050552322014,0.522633744855967,-0.0017898200800989638,-3.7528930349304104
R2_去没涨,XD_ATR3倍止损,2021-2025,2026,4501,-0.09138712132069093,0.5287356321839081,-0.0004605568354785304,-0.6235365779128594
R3_仅超跌+缩量,XA_固定持有5日,2015-2019,2020,22357,-0.4519528799009087,0.49173553719008267,-0.003141504153658339,-4.968861491155321
R3_仅超跌+缩量,XA_固定持有5日,2016-2020,2021,22433,-0.25026983222995736,0.5061728395061729,-0.0021650854106291897,-5.391014281192784
R3_仅超跌+缩量,XA_固定持有5日,2017-2021,2022,23910,-0.5440915646815603,0.4793388429752066,-0.0026792316013023467,-5.656608410991178
R3_仅超跌+缩量,XA_固定持有5日,2018-2022,2023,17614,-0.20554929257487486,0.4380165289256198,-0.0013919003347775405,-3.1226788236558916
R3_仅超跌+缩量,XA_固定持有5日,2019-2023,2024,17483,-0.38001728768578713,0.44537815126050423,-0.0025495838929549637,-3.198442577057176
R3_仅超跌+缩量,XA_固定持有5日,2020-2024,2025,31522,-0.16146401279684752,0.4732510288065844,-0.002136943384924352,-4.929050864025779
R3_仅超跌+缩量,XA_固定持有5日,2021-2025,2026,24813,-0.48902718691500235,0.4942528735632184,-0.0026279531073360707,-3.0684455867422225
R3_仅超跌+缩量,XA_固定持有10日,2015-2019,2020,22357,-0.19505841032645832,0.5020576131687243,-0.0016085636759700017,-3.7801831538070503
R3_仅超跌+缩量,XA_固定持有10日,2016-2020,2021,22433,-0.09389736321356057,0.5390946502057613,-0.0014138905892198655,-3.778884364510742
R3_仅超跌+缩量,XA_固定持有10日,2017-2021,2022,23910,-0.42443125913708735,0.512396694214876,-0.00176405402106971,-4.395644438177457
R3_仅超跌+缩量,XA_固定持有10日,2018-2022,2023,17614,-0.02686126056353877,0.4834710743801653,-0.0005923883064113436,-1.4997404557818137
R3_仅超跌+缩量,XA_固定持有10日,2019-2023,2024,17483,-0.15855107571150495,0.47520661157024796,-0.000964843327988443,-1.6794850764538582
R3_仅超跌+缩量,XA_固定持有10日,2020-2024,2025,31522,0.04431846033391307,0.5185185185185185,-0.001269770442281587,-3.1322607564605778
R3_仅超跌+缩量,XA_固定持有10日,2021-2025,2026,24813,-0.24528796181182955,0.5114942528735632,-0.0010798553930302618,-1.3231464221552762
