variant,n,cagr,mdd,sharpe,ann_arith,win,pf,payoff,mean,n_trade,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
A 全市场(等权),10535057,0.07523121944527489,-0.6510141300291349,0.3926205278471819,0.1185291493496214,0.4757188540875133,1.1768911527156112,1.297030455821498,0.008137814106408972,10380688,0.5957628573620719,0.04326634731031609,-0.177927740283655,-0.32394227655252794,0.30306122565966054,0.1706742100687355,0.24282115400098125,-0.11265219403037408,0.06437150429598337,0.028557027210769137,0.42429411535069694,-0.03856288888776005
B 小市值30% 单独(无超跌),3146576,0.21714364978585876,-0.5084669622758236,0.8081637636534844,0.2417427586236217,0.5166101725547376,1.466109318662978,1.3718319309504055,0.017423688683268334,3098553,1.2168985105101213,0.2685550555434095,-0.19167550020213497,-0.2509737702067383,0.355160745640267,0.2016551151345416,0.40724569735737415,0.028701839624050596,0.2970018381496802,0.0992810097451573,0.6157406886032943,0.010597431229686594
C 小市值10% 单独(无超跌),1047817,0.2645946047262946,-0.5051607891285758,0.9314892333080601,0.28023209015936695,0.5235748735112048,1.5866807240651717,1.443794580115398,0.020962378778245496,1031119,1.495909496058724,0.3355402363206945,-0.18943661578873106,-0.2318823259989471,0.3818952834547358,0.18176885602871118,0.46566495600157154,-0.01975970679436334,0.49623900202956617,0.2088794126419078,0.7004778092847057,-0.03474263751079987
D 距MA60 D1 单独(全市值),1045862,0.14681197318098227,-0.5337595319819768,0.5778607821918811,0.19292708145628773,0.4898607108363168,1.2899578813128418,1.3433577791951334,0.013114012021714834,1031236,1.1190748094841378,0.0702171173097128,-0.19497680757345393,-0.28177957984388635,0.3980308149735501,0.11576564482204121,0.2969337215853305,-0.06952445912850569,0.010919683148945314,0.17967510508172824,0.5679399039405506,0.03176566309419493
E 距MA60 D1 + 小市值30%,253791,0.28009312398039055,-0.46895210114640096,0.9018294930865309,0.30368604000789556,0.5286692366141936,1.6417652458395746,1.4637024684425863,0.02524245585646832,251367,1.9532416414540195,0.3189507318425986,-0.1602915171502174,-0.16566315169634305,0.4086512700366234,0.1008815615579739,0.5020603200577449,-0.05559796366179637,0.1989430068410769,0.2826736342713443,0.7870102282984328,0.010090259652750344
F E + 熊市,105908,0.2993255336365914,-0.4129890580281229,0.9817718678298142,0.31230573100962,0.5852148441215073,2.190393766176073,1.552494487904654,0.04524940326310626,105146,1.3914756504063113,0.5444559168358343,-0.0688119772744974,-0.1719707221302771,0.4766132895195143,0.21242679160271405,0.2061654562191153,0.03228342125821082,0.43842212056029517,0.25772771167401,0.6090282364080355,0.06876760654809244
G 小市值30% + 熊市(无超跌),1344752,0.17947686592945788,-0.4572481435227892,0.7544716243601141,0.20072324843793546,0.5502909050887989,1.6647521315387828,1.3604698304163154,0.023878589018811618,1335659,0.8655297863358178,0.38586914471026,-0.12966619679586744,-0.2519177904931895,0.3660388692119241,0.24187919100873123,0.1116422181426342,0.04327133471219069,0.3652985448970665,0.06730949112922957,0.3157661500549245,0.028646593999224867
H 距MA60 D1 + 中市值(30-70%),454635,0.1502848291290455,-0.5187046652467836,0.5821581168437382,0.19836386060832514,0.4891253349343473,1.2780539116708156,1.3348835511624315,0.012455597422348662,449715,1.1883631277561038,0.09072581040745953,-0.18168259525282926,-0.25799089347301263,0.3552773325316283,0.07725834451407976,0.3210633717224167,-0.08019997835549963,0.04038437488224833,0.11551434436555397,0.5517376597181465,0.06445854668082851
I 距MA60 D1 + 大市值(70-90%),230799,0.028778864946915395,-0.6957722402362269,0.25553821139172234,0.08797653164266671,0.46445937172913604,1.1164531784737337,1.287316120695082,0.005775101700765624,226431,0.7211603366112569,-0.05575168870609015,-0.287619905967777,-0.35229090985589095,0.35416275161968525,0.08593636275161565,0.11989361372568763,-0.10551061621605085,-0.08109181545602928,0.0156523126833068,0.41581713209264914,-0.05347451450397833
J 距MA120 D1 + 小市值30% + 熊市,131641,0.24484810322182482,-0.3926202523017742,0.8556422009423004,0.2680407204327686,0.5745631483918352,1.9949794285286164,1.477187963536875,0.03744549573341023,130708,0.8666958217309535,0.5993932268782607,-0.11594997401407259,-0.1333922086293119,0.4858844877437887,0.1588410515947627,0.1486210460580646,0.01967794147964219,0.44272922160202444,0.288254800215773,0.3543515710402083,0.044124188577447265
