variant,year,n_day,ret,mdd
S ret20 D2~D6 | 无确认(基线),2015,244,1.096490434873115,-0.5127579066638034
S ret20 D2~D6 | 无确认(基线),2016,244,0.1269610977081268,-0.25868394757387847
S ret20 D2~D6 | 无确认(基线),2017,244,-0.14624310636583604,-0.20815391407960004
S ret20 D2~D6 | 无确认(基线),2018,243,-0.2510001420200093,-0.3548831421781804
S ret20 D2~D6 | 无确认(基线),2019,244,0.4824446892419225,-0.1750692620426756
S ret20 D2~D6 | 无确认(基线),2020,243,0.20671127110894272,-0.19806503088124694
S ret20 D2~D6 | 无确认(基线),2021,243,0.3107947066169716,-0.11504661890026802
S ret20 D2~D6 | 无确认(基线),2022,242,-0.019137820415838114,-0.3031572733567863
S ret20 D2~D6 | 无确认(基线),2023,242,0.14241254460327668,-0.09040682143455236
S ret20 D2~D6 | 无确认(基线),2024,242,0.11240177386478267,-0.34786322557903415
S ret20 D2~D6 | 无确认(基线),2025,243,0.5385337872808191,-0.1744049144004597
S ret20 D2~D6 | 无确认(基线),2026,175,0.0016400574296997483,-0.23263055833576218
S ret20 D2~D6 | A Close>MA5,2015,244,1.5118355874286324,-0.4031418315904205
S ret20 D2~D6 | A Close>MA5,2016,244,0.4840498196758194,-0.20115689120012392
S ret20 D2~D6 | A Close>MA5,2017,244,-0.019261845904989583,-0.15307037223827502
S ret20 D2~D6 | A Close>MA5,2018,243,-0.2408323765639575,-0.3528897790903244
S ret20 D2~D6 | A Close>MA5,2019,244,0.4310343422128231,-0.19895300204658506
S ret20 D2~D6 | A Close>MA5,2020,243,0.12208647721771104,-0.19455245969292834
S ret20 D2~D6 | A Close>MA5,2021,243,0.2505829557469048,-0.10783588722138471
S ret20 D2~D6 | A Close>MA5,2022,242,-0.15525026137764075,-0.31243751121226027
S ret20 D2~D6 | A Close>MA5,2023,242,0.07070594240942496,-0.11769200661844004
S ret20 D2~D6 | A Close>MA5,2024,242,0.5888621586848808,-0.23379053424724106
S ret20 D2~D6 | A Close>MA5,2025,243,0.5118155327358376,-0.16225264169470532
S ret20 D2~D6 | A Close>MA5,2026,175,-0.07833698948023904,-0.28935042887065543
S ret20 D2~D6 | B MA5向上,2015,244,-0.7824431887851133,-0.7872200056736745
S ret20 D2~D6 | B MA5向上,2016,244,-0.6389374985323119,-0.6547561092887952
S ret20 D2~D6 | B MA5向上,2017,244,-0.6774181164083216,-0.6846283394204987
S ret20 D2~D6 | B MA5向上,2018,243,-0.7488743125544537,-0.7500966924059213
S ret20 D2~D6 | B MA5向上,2019,244,-0.5880721782378681,-0.6092722817564309
S ret20 D2~D6 | B MA5向上,2020,243,-0.6892258652151009,-0.6902932989488363
S ret20 D2~D6 | B MA5向上,2021,243,-0.7328544005636437,-0.7289649840418699
S ret20 D2~D6 | B MA5向上,2022,242,-0.7594284791535229,-0.757173278650517
S ret20 D2~D6 | B MA5向上,2023,242,-0.6575552220563148,-0.6608978962400298
S ret20 D2~D6 | B MA5向上,2024,242,-0.759317169715203,-0.7550126910397245
S ret20 D2~D6 | B MA5向上,2025,243,-0.6025952698088435,-0.5986293937092404
S ret20 D2~D6 | B MA5向上,2026,175,-0.6635177749243139,-0.6711760893723876
S ret20 D2~D6 | C 连续2日上涨,2015,244,-0.9992548218971283,-0.999248195906032
S ret20 D2~D6 | C 连续2日上涨,2016,244,-0.978610453022325,-0.9787433502204972
S ret20 D2~D6 | C 连续2日上涨,2017,244,-0.955421025297108,-0.9551724660598934
S ret20 D2~D6 | C 连续2日上涨,2018,243,-0.9873000388222882,-0.9872342105241491
S ret20 D2~D6 | C 连续2日上涨,2019,244,-0.9679103504275647,-0.9670352470386434
S ret20 D2~D6 | C 连续2日上涨,2020,243,-0.9797620167957086,-0.9794806256094508
S ret20 D2~D6 | C 连续2日上涨,2021,243,-0.9779815212181219,-0.9776887472448179
S ret20 D2~D6 | C 连续2日上涨,2022,242,-0.9818119385837989,-0.9812655081270611
S ret20 D2~D6 | C 连续2日上涨,2023,242,-0.9525591940919705,-0.9521585371573283
S ret20 D2~D6 | C 连续2日上涨,2024,242,-0.9884782615271291,-0.9883436797534155
S ret20 D2~D6 | C 连续2日上涨,2025,243,-0.9578778402222924,-0.955531359836979
S ret20 D2~D6 | C 连续2日上涨,2026,175,-0.9579063351863476,-0.957567877494303
S ret20 D2~D6 | D MACD柱连续3日改善,2015,244,1.0638353374164895,-0.4576094212216314
S ret20 D2~D6 | D MACD柱连续3日改善,2016,244,0.16389812137848292,-0.2836553822255702
S ret20 D2~D6 | D MACD柱连续3日改善,2017,244,-0.06857894503594042,-0.17253633699024773
S ret20 D2~D6 | D MACD柱连续3日改善,2018,243,-0.2356126366894964,-0.3503191843802814
S ret20 D2~D6 | D MACD柱连续3日改善,2019,244,0.4459046969605389,-0.17852558206599078
S ret20 D2~D6 | D MACD柱连续3日改善,2020,243,0.22921185242458164,-0.18003192353448172
S ret20 D2~D6 | D MACD柱连续3日改善,2021,243,0.2508523546808934,-0.11286109745798312
S ret20 D2~D6 | D MACD柱连续3日改善,2022,242,-0.04899579876523774,-0.2950601477883228
S ret20 D2~D6 | D MACD柱连续3日改善,2023,242,0.1747119657686258,-0.08590536367560797
S ret20 D2~D6 | D MACD柱连续3日改善,2024,242,0.1654405753335908,-0.31549592278932437
S ret20 D2~D6 | D MACD柱连续3日改善,2025,243,0.5119332170652684,-0.17681707672734492
S ret20 D2~D6 | D MACD柱连续3日改善,2026,175,0.060731841049319835,-0.19224597973642543
S ret20 D2~D6 | E MACD柱翻红,2015,244,-0.9771805030617489,-0.9771805030617489
S ret20 D2~D6 | E MACD柱翻红,2016,244,-0.931644161757871,-0.9336583507112746
S ret20 D2~D6 | E MACD柱翻红,2017,244,-0.9563831501793607,-0.9574504500914501
S ret20 D2~D6 | E MACD柱翻红,2018,243,-0.9784241852103839,-0.9781092825606211
S ret20 D2~D6 | E MACD柱翻红,2019,244,-0.935431645357085,-0.9363951295488689
S ret20 D2~D6 | E MACD柱翻红,2020,243,-0.9680678168767485,-0.9675471850901711
S ret20 D2~D6 | E MACD柱翻红,2021,243,-0.9791353627077573,-0.9785718104136043
S ret20 D2~D6 | E MACD柱翻红,2022,242,-0.9872943055953853,-0.986779219227149
S ret20 D2~D6 | E MACD柱翻红,2023,242,-0.9697783846408515,-0.9692035002092954
S ret20 D2~D6 | E MACD柱翻红,2024,242,-0.9724773554088554,-0.9715704031631542
S ret20 D2~D6 | E MACD柱翻红,2025,243,-0.9492916701892612,-0.9467705333134038
S ret20 D2~D6 | E MACD柱翻红,2026,175,-0.9431681506948496,-0.9433801127585983
S ret20 D2~D6 | F DIF>DEA,2015,244,1.7858665592395861,-0.4431593594975787
S ret20 D2~D6 | F DIF>DEA,2016,244,0.09712017270663398,-0.3139781317253858
S ret20 D2~D6 | F DIF>DEA,2017,244,-0.13325884384321773,-0.19783623581934007
S ret20 D2~D6 | F DIF>DEA,2018,243,-0.26509553646986506,-0.37187436858311596
S ret20 D2~D6 | F DIF>DEA,2019,244,0.3135969519156625,-0.2405004437704379
S ret20 D2~D6 | F DIF>DEA,2020,243,0.20917906890111282,-0.1733354801419571
S ret20 D2~D6 | F DIF>DEA,2021,243,0.341246007441131,-0.11638517137184334
S ret20 D2~D6 | F DIF>DEA,2022,242,-0.06468858261682076,-0.34046816697773874
S ret20 D2~D6 | F DIF>DEA,2023,242,0.097636092334485,-0.11382172875198959
S ret20 D2~D6 | F DIF>DEA,2024,242,0.06104933096148635,-0.2938553707846233
S ret20 D2~D6 | F DIF>DEA,2025,243,0.44459864241973723,-0.13843144536435037
S ret20 D2~D6 | F DIF>DEA,2026,175,0.04483154299428738,-0.22600637660161538
S ret20 D2~D6 | G Close站上MA10,2015,244,1.045338450149674,-0.5319869301467011
S ret20 D2~D6 | G Close站上MA10,2016,244,0.3669538991156267,-0.27415433740128226
S ret20 D2~D6 | G Close站上MA10,2017,244,-0.060721386791428356,-0.1837198738863588
S ret20 D2~D6 | G Close站上MA10,2018,243,-0.19247689255677203,-0.38818986172088565
S ret20 D2~D6 | G Close站上MA10,2019,244,0.41311900149763514,-0.22843281412178162
S ret20 D2~D6 | G Close站上MA10,2020,243,0.12876457064156877,-0.18868635330142858
S ret20 D2~D6 | G Close站上MA10,2021,243,0.27023393755902103,-0.12465220060718041
S ret20 D2~D6 | G Close站上MA10,2022,242,-0.12049201379612873,-0.2939911403809329
S ret20 D2~D6 | G Close站上MA10,2023,242,0.06453933191394645,-0.14661049868224552
S ret20 D2~D6 | G Close站上MA10,2024,242,-0.14954159408464118,-0.4044335421440933
S ret20 D2~D6 | G Close站上MA10,2025,243,0.6460047032148284,-0.15040364893394476
S ret20 D2~D6 | G Close站上MA10,2026,175,-0.0010269890328402642,-0.251151142351544
S ret20 D2~D6 | H Close站上MA20,2015,244,0.8352147495245308,-0.520939230608976
S ret20 D2~D6 | H Close站上MA20,2016,244,0.3985226839477709,-0.2639622597868644
S ret20 D2~D6 | H Close站上MA20,2017,244,-0.10776394231668407,-0.2165937805735456
S ret20 D2~D6 | H Close站上MA20,2018,243,-0.41971397139448774,-0.48847683633297123
S ret20 D2~D6 | H Close站上MA20,2019,244,0.30429262979200766,-0.2907007879376723
S ret20 D2~D6 | H Close站上MA20,2020,243,-0.06059595716088173,-0.28535591636193725
S ret20 D2~D6 | H Close站上MA20,2021,243,0.24768387940939496,-0.15258434442301494
