combo,n,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings,exw1,t1,mean1,med1,win1,pf1,payoff1,exw5,t5,mean5,med5,win5,pf5,payoff5,exw10,t10,mean10,med10,win10,pf10,payoff10,exw20,t20,mean20,med20,win20,pf20,payoff20,exw60,t60,mean60,med60,win60,pf60,payoff60
A1 ret5 D1 (最弱),1051066,0.1467744464628784,-0.5356171791705381,0.5581804705282865,0.2052781750473265,366.4938917975567,0.0001463788110378898,0.998670502330996,0.0006776969190731163,0.0,0.4914738501245232,1.057496563583256,1.0533141190792867,-0.00044122905505273127,-1.4236848388943077,0.002799164903323802,-0.0033556893467903137,0.47025574420044985,1.1072717514355725,1.228264895799813,-0.002039408342688386,-4.787609975545462,0.004548252858969007,-0.006151301320642233,0.46511060554166195,1.1233543060091515,1.2787829808015647,-0.003269662452087394,-5.560481356976578,0.00995160546550964,-0.009740251116454601,0.46386324168290116,1.1976307033502502,1.3748490243714129,-0.013560646078486609,-13.613908179636944,0.0257347859723695,-0.022770389914512634,0.45047758697854096,1.3236763503205786,1.6091622779873878
A2 ret20 D1 (最极端),1047819,0.2153268042208365,-0.5498475666492364,0.7197809031039184,0.26125760706262197,367.28456140350875,0.0003618369096785901,2.5738613301630897,0.0009074429583424531,0.0,0.4913862858856988,1.0849381699784701,1.0769735252330395,0.00120876932434463,3.774665193276806,0.004209016290452887,-0.0005979654961265624,0.4898577888735301,1.1786971387937009,1.2069341640522315,0.0013753451897922135,3.244430846354082,0.007569575797649182,-0.0011973283253610134,0.49022842566520985,1.2315889574047252,1.2658180452582992,0.0018453975665577414,3.1399028838178205,0.014515876047144832,-0.001956904074177146,0.49084462141402685,1.3196601358515778,1.358306093707709,-0.008768932103275335,-8.059126290114033,0.029384629926985283,-0.0152686289511621,0.46465500774876284,1.3970989867831705,1.603286728969904
A3 ret20 D2~D6,5246722,0.18382301185228234,-0.5127579066638034,0.6898804793166569,0.22007432475070865,1839.0947368421052,0.0001972069956144685,3.8790482919086364,0.0007906935629843047,0.0,0.4876598326407729,1.0864659408356516,1.0744184671514208,0.0007996561856080382,6.912790505185699,0.003873499535497016,0.0,0.4975184564858606,1.1922045356630633,1.1742382835786123,0.0012756002283006319,7.5914055357427905,0.007497965277209034,0.0012594429426826537,0.5040731526876444,1.2674850763991663,1.2258760853597732,0.0014506789311825024,5.276245427058765,0.01426089587835731,0.0012874937383458018,0.5028826104846577,1.3649051652349746,1.3349664575610787,-0.00360289803637144,-5.883251438024436,0.03405460689307309,-0.0058681252412498,0.4831263954664729,1.5423274443732653,1.6408887503097778
A4 ret20 D3~D5,3147754,0.18664728122956276,-0.5123428942340078,0.6984171968647329,0.22219444862154156,1103.360701754386,0.00020568217693909066,3.7917608704477557,0.0007939216538852766,0.0,0.4880708953633842,1.0882514523470344,1.072056485148799,0.0008527174771752773,6.869279166255343,0.003909548433652867,0.0,0.49888057275926545,1.197111790442069,1.17156447256925,0.0013797964130529419,7.604059178234791,0.007570989971675052,0.0015455798711627722,0.5058347722331992,1.2742496044156129,1.223093947907913,0.0015918200260766188,5.491135528936899,0.01437014596856078,0.0017698676092550159,0.5048793918620612,1.3733261494586724,1.332197345372612,-0.003113090841283319,-5.019442890173116,0.03446323239453337,-0.004963505547493696,0.48533229503936043,1.5570830974891856,1.6418063624082875
A5 ret20 D2~D3,2098773,0.17047569142159036,-0.5207001034575278,0.6409755078932409,0.21315041800437678,735.6677192982456,0.00016952872245725343,2.099597582481807,0.0007432488470851049,0.0,0.48916391982841223,1.0795866093824378,1.0650981843896872,0.0007814277322111328,4.426346873974524,0.0037839983704289096,0.0,0.495521918702513,1.1832330370826551,1.1770466198405762,0.0013670528185713068,5.677691223082371,0.007480270642774106,0.0006849255878478289,0.5013439572233508,1.2611104976064647,1.2347231918053378,0.0019348098222815306,5.153745761528708,0.014669505076539273,0.0010235183872282505,0.5019987623613376,1.3680440992961667,1.3434121189392563,-0.0038397943572409015,-4.944753190581983,0.034043754487147054,-0.006669244728982449,0.4816334837024726,1.5305994632002202,1.6388115017951808
B1 ret40 D1 (最极端),1043470,0.2565258190326827,-0.499580316449293,0.8124670828968276,0.293966840654998,368.34275618374556,0.0005261226763745543,3.882044983749843,0.0010781094935237805,0.0,0.4896969522548709,1.1033151399210344,1.101376370993666,0.0020446301792895988,6.308996758057815,0.0050365129085764805,0.0,0.4959612417631537,1.219436013319643,1.2174294056992556,0.0030511635791310413,6.946927328995687,0.009191706927930459,0.00027032823709305376,0.5002679120400442,1.2899581437372796,1.272983342724249,0.0038268843972363883,6.348839963499388,0.016476493496760947,0.0,0.49812373107264074,1.3752471340165957,1.37439938314691,-0.008696358414540237,-8.130550540383442,0.0269277683896953,-0.014999969396740198,0.4645160397190948,1.3708659935605902,1.573577995371463
B2 ret40 D2~D6,5224942,0.17112466048561004,-0.49957214337779565,0.6612828483137413,0.20765284668361794,1844.3964664310954,0.00017864458139437396,3.4641702477682355,0.0007591246016306728,0.0,0.48635883457141316,1.0835916098975205,1.0769981669279032,0.0005842130411352791,4.926906016593972,0.0036396875082174013,0.0,0.49620707680854237,1.1818390437595456,1.17010279063345,0.0007027396040890792,4.015318463088804,0.006980328263948087,0.0008903358248062432,0.5021817588332749,1.249877193698913,1.2178882624410703,0.0005899142926428585,2.09040459438851,0.013382534840426202,0.0,0.49948552535898605,1.343120344686275,1.3314724111497613,-0.004033368711938679,-6.709963728065778,0.031490409440466625,-0.006880782078951597,0.4801314322174023,1.5026735980854438,1.61791525070822
C1 ret60 D1 (最极端),1039072,0.24783800807692047,-0.47041599359827835,0.8032226473042254,0.284404170465388,369.3996441281139,0.0005287197441111032,4.084707651910128,0.0010568639931003909,0.0,0.4865998788069128,1.1021547789214756,1.1131262046642878,0.0019335709061102902,6.250874652206188,0.0048194087037581835,0.0,0.49229119223703605,1.2113301590563041,1.2271712936347259,0.002582509083754642,5.991282193822088,0.008348534638903874,0.0,0.49507092143670106,1.2634774207416706,1.2731350135067794,0.0021971292070422344,3.52643640472498,0.01386241406613657,-0.0016830035019665956,0.4916019113361064,1.3132038364928686,1.3469776743109834,-0.00885446947005581,-9.428080909913213,0.02283503489620216,-0.018058784306049347,0.45630080594302286,1.3117625816029914,1.556281063117127
C2 ret60 D2~D6,5202955,0.1573837172366197,-0.5086743383360364,0.6261484938204123,0.19511100122921424,1849.6982206405694,0.0001666897359938062,3.2304543672736408,0.0007313600767665476,0.0,0.4851173183583664,1.080459906512414,1.0788521602526973,0.0005314174670381771,4.228181115845763,0.0034843706703581137,0.0,0.4947538642343557,1.1744043874966545,1.1691852009119161,0.0006014736827012162,3.252086543267495,0.00662893431231923,0.0003670668666018173,0.5003653004044977,1.2381568532371188,1.2149007768787667,0.00026077329331404537,0.9053815197952827,0.01236391171493955,0.0,0.4969186098017,1.3179057824509763,1.3197240881166596,-0.0043601114186050125,-7.693322653847535,0.02833876648715335,-0.007782094180583954,0.4774249108521835,1.4527159707122668,1.5811037938401284
C3 ret60 D2~D3,2081246,0.17667091373622057,-0.5049009697014093,0.6675325431450275,0.2148157250337261,739.9024911032028,0.0002465805205896573,3.199742292881207,0.0007973577566243758,0.0,0.48738075518270657,1.0874816377161398,1.0790367808712662,0.0009442111021020977,5.233264733703453,0.0038240555165611947,0.0,0.49644052561949215,1.1903301279485703,1.1789359477608983,0.0011370402566276239,4.376564798047618,0.007041751224880791,0.0006594122969545424,0.5012533907747733,1.2517460287390714,1.2250649461850402,0.0009051835071771107,2.3158008769049023,0.012817833840321455,0.0,0.4972248772224294,1.3278607595971228,1.3287232679290386,-0.005067708699125149,-7.694007184831623,0.02704055482648869,-0.00959327444434166,0.47295740806024483,1.4230088895151094,1.5772222144223256
