variant,year,n_day,ret,mdd
A1 ret5 D1 (最弱),2015,244,1.5600302164114037,-0.5356171791705382
A1 ret5 D1 (最弱),2016,244,0.08760047977115826,-0.2918272576726172
A1 ret5 D1 (最弱),2017,244,-0.15549246887692036,-0.2548337564729498
A1 ret5 D1 (最弱),2018,243,-0.2892508625929986,-0.3927504002789891
A1 ret5 D1 (最弱),2019,244,0.4099433375066852,-0.18229563810876637
A1 ret5 D1 (最弱),2020,243,0.04939889773414996,-0.21431953176638752
A1 ret5 D1 (最弱),2021,243,0.29102964803561204,-0.1113285294112869
A1 ret5 D1 (最弱),2022,242,-0.041146835560213146,-0.32905632988442346
A1 ret5 D1 (最弱),2023,242,0.10317450528860328,-0.19935761445161393
A1 ret5 D1 (最弱),2024,242,0.0019427126725424237,-0.4042969395885564
A1 ret5 D1 (最弱),2025,243,0.627044197332645,-0.1934646920677615
A1 ret5 D1 (最弱),2026,175,-0.13225521994433442,-0.34021169448093447
A2 ret20 D1 (最极端),2015,244,1.8935875252862648,-0.490868092150467
A2 ret20 D1 (最极端),2016,244,0.24799974307491457,-0.22892999283318138
A2 ret20 D1 (最极端),2017,244,-0.18840628475384935,-0.2566066384988386
A2 ret20 D1 (最极端),2018,243,-0.30840669610867966,-0.41493444190277085
A2 ret20 D1 (最极端),2019,244,0.6216674345694837,-0.15637092275700237
A2 ret20 D1 (最极端),2020,243,0.11074489421807043,-0.20966860241943952
A2 ret20 D1 (最极端),2021,243,0.19451610584297496,-0.13518269284143403
A2 ret20 D1 (最极端),2022,242,-0.11168881441416356,-0.36386078769809793
A2 ret20 D1 (最极端),2023,242,0.12462627145189531,-0.11873598815920039
A2 ret20 D1 (最极端),2024,242,0.18385873025037558,-0.39148343267594765
A2 ret20 D1 (最极端),2025,243,0.7439386730627644,-0.22387927501995575
A2 ret20 D1 (最极端),2026,175,0.02494896604338792,-0.3192089050492013
A3 ret20 D2~D6,2015,244,1.096490434873115,-0.5127579066638034
A3 ret20 D2~D6,2016,244,0.1269610977081268,-0.25868394757387847
A3 ret20 D2~D6,2017,244,-0.14624310636583604,-0.20815391407960004
A3 ret20 D2~D6,2018,243,-0.2510001420200093,-0.3548831421781804
A3 ret20 D2~D6,2019,244,0.4824446892419225,-0.1750692620426756
A3 ret20 D2~D6,2020,243,0.20671127110894272,-0.19806503088124694
A3 ret20 D2~D6,2021,243,0.3107947066169716,-0.11504661890026802
A3 ret20 D2~D6,2022,242,-0.019137820415838114,-0.3031572733567863
A3 ret20 D2~D6,2023,242,0.14241254460327668,-0.09040682143455236
A3 ret20 D2~D6,2024,242,0.11240177386478267,-0.34786322557903415
A3 ret20 D2~D6,2025,243,0.5385337872808191,-0.1744049144004597
A3 ret20 D2~D6,2026,175,0.0016400574296997483,-0.23263055833576218
A4 ret20 D3~D5,2015,244,1.1542343041024954,-0.512342894234008
A4 ret20 D3~D5,2016,244,0.12132487554106097,-0.26085542696431463
A4 ret20 D3~D5,2017,244,-0.1422923875855936,-0.20780350900640476
A4 ret20 D3~D5,2018,243,-0.2533797576354607,-0.3571986877861488
A4 ret20 D3~D5,2019,244,0.49832603356412686,-0.17262563706826484
A4 ret20 D3~D5,2020,243,0.20152303188427778,-0.19794885424414876
A4 ret20 D3~D5,2021,243,0.30758192633874404,-0.11723241407890539
A4 ret20 D3~D5,2022,242,-0.01526114679500179,-0.30194326507618874
A4 ret20 D3~D5,2023,242,0.1380207102625659,-0.09286249573262662
A4 ret20 D3~D5,2024,242,0.11668724688851606,-0.35028009469364063
A4 ret20 D3~D5,2025,243,0.5313772063930831,-0.17624058567803091
A4 ret20 D3~D5,2026,175,0.001223992206762281,-0.2320878733717796
A5 ret20 D2~D3,2015,244,1.20697601574579,-0.5145430339760333
A5 ret20 D2~D3,2016,244,0.1345914717051757,-0.2562000344317803
A5 ret20 D2~D3,2017,244,-0.15638574751431888,-0.22064403629623774
A5 ret20 D2~D3,2018,243,-0.27758731960087124,-0.37892289015425185
A5 ret20 D2~D3,2019,244,0.5400566284525068,-0.1643913762924375
A5 ret20 D2~D3,2020,243,0.1687012107542747,-0.20526048485664738
A5 ret20 D2~D3,2021,243,0.22249835299672638,-0.11994966162859566
A5 ret20 D2~D3,2022,242,-0.06205054134479304,-0.3281695449086762
A5 ret20 D2~D3,2023,242,0.13000265210608064,-0.09434032514032098
A5 ret20 D2~D3,2024,242,0.09792210440654814,-0.37132698211909654
A5 ret20 D2~D3,2025,243,0.5354603900893218,-0.19754327688805307
A5 ret20 D2~D3,2026,175,-0.004883212169254247,-0.2617282395561109
B1 ret40 D1 (最极端),2015,244,1.5991573472224836,-0.4580677753370339
B1 ret40 D1 (最极端),2016,244,0.1836940217180154,-0.2387857857837833
B1 ret40 D1 (最极端),2017,244,-0.18063799202415276,-0.2564919404991771
B1 ret40 D1 (最极端),2018,243,-0.23324393542456534,-0.38161482006703784
B1 ret40 D1 (最极端),2019,244,0.6145194683250668,-0.17194170108362894
B1 ret40 D1 (最极端),2020,243,0.19907246423674207,-0.2012031687021354
B1 ret40 D1 (最极端),2021,243,0.41013124679307844,-0.13912776293901885
B1 ret40 D1 (最极端),2022,242,0.006976470520090539,-0.33705334613710225
B1 ret40 D1 (最极端),2023,242,0.10928276962065309,-0.13048188080730394
B1 ret40 D1 (最极端),2024,242,0.24001341260353448,-0.39152247858158595
B1 ret40 D1 (最极端),2025,243,0.7837899183368302,-0.1789597059346123
B1 ret40 D1 (最极端),2026,175,0.034333967345400396,-0.26069469327217976
B2 ret40 D2~D6,2015,244,0.9346616657828501,-0.49957214337779565
B2 ret40 D2~D6,2016,244,0.14173085716506173,-0.2511142295931068
B2 ret40 D2~D6,2017,244,-0.16017257991138,-0.21318839802043232
B2 ret40 D2~D6,2018,243,-0.2551779699842158,-0.3604791193104241
B2 ret40 D2~D6,2019,244,0.43873636091273727,-0.17565578295387485
B2 ret40 D2~D6,2020,243,0.21670547481109348,-0.19080434160898763
B2 ret40 D2~D6,2021,243,0.3123626506897006,-0.11216692847924337
B2 ret40 D2~D6,2022,242,-0.025496263803304053,-0.30412990887204916
B2 ret40 D2~D6,2023,242,0.12314165920140963,-0.09851143312457789
B2 ret40 D2~D6,2024,242,0.1694886562366984,-0.3395233599655124
B2 ret40 D2~D6,2025,243,0.5293616507836343,-0.15052664481081035
B2 ret40 D2~D6,2026,175,-0.026738626263716814,-0.23825161924738636
C1 ret60 D1 (最极端),2015,244,1.3487152924977428,-0.47041599359827835
C1 ret60 D1 (最极端),2016,244,0.20422099577935615,-0.24844224591310893
C1 ret60 D1 (最极端),2017,244,-0.12933056051764624,-0.2727614623214998
C1 ret60 D1 (最极端),2018,243,-0.23380882952606463,-0.36435840878031056
C1 ret60 D1 (最极端),2019,244,0.5516422442011166,-0.2059584960938653
C1 ret60 D1 (最极端),2020,243,0.17550762636360284,-0.21640443941841947
C1 ret60 D1 (最极端),2021,243,0.4369562190828782,-0.1403158598141454
C1 ret60 D1 (最极端),2022,242,-0.02032259693974814,-0.34335555577427523
C1 ret60 D1 (最极端),2023,242,0.04058429449147316,-0.16157726227582614
C1 ret60 D1 (最极端),2024,242,0.28888007539198535,-0.3704575420586502
C1 ret60 D1 (最极端),2025,243,0.6902505547692692,-0.1742942038830545
C1 ret60 D1 (最极端),2026,175,0.1345018152019526,-0.23267907359370388
C2 ret60 D2~D6,2015,244,0.7050658165546726,-0.5019319807414568
C2 ret60 D2~D6,2016,244,0.1556126279649701,-0.24217434023202533
C2 ret60 D2~D6,2017,244,-0.17325266700943354,-0.21952246542669263
C2 ret60 D2~D6,2018,243,-0.26759624839301266,-0.3641476849796831
C2 ret60 D2~D6,2019,244,0.44874036416838625,-0.17777570735626325
C2 ret60 D2~D6,2020,243,0.21208669730895213,-0.1913657515268833
C2 ret60 D2~D6,2021,243,0.3280901791671784,-0.11392305296250371
C2 ret60 D2~D6,2022,242,-0.02684563006859242,-0.30822659627647464
C2 ret60 D2~D6,2023,242,0.1274658208855981,-0.09593070113574209
C2 ret60 D2~D6,2024,242,0.12756712012647276,-0.3297257386077883
C2 ret60 D2~D6,2025,243,0.5126959347821884,-0.1464566191177481
C2 ret60 D2~D6,2026,175,0.01526828956786086,-0.21792224040033825
C3 ret60 D2~D3,2015,244,0.9113636599579373,-0.49761705331057204
