H,factor,factor_cn,coef,se,t,n_day
5,ret20,过去20日涨幅,-0.16301088910735093,0.0038402220290685786,-42.4482980081462,2806
5,ret60,过去60日涨幅,-0.2534952916050843,0.004183079288938243,-60.6001641602703,2806
5,px_ma60_pct,距MA60,-0.07167801587625797,0.008616713555877037,-8.318486556556115,2806
5,px_ma120_pct,距MA120,-0.01681055809678843,0.008778982826669354,-1.9148639915002734,2806
5,sl20,MA20斜率,-0.30691506217435555,0.0022456263911967483,-136.67236160810933,2806
5,sl60,MA60斜率,-0.31944243493991953,0.004150280567893973,-76.96887709498108,2806
5,hist_z,MACD柱Z,-0.02181224253843175,0.0016828650487390132,-12.96137355444863,2806
5,dhist3,MACD柱3日变化,0.002485958281074339,0.0011465452736393836,2.168216413455151,2806
5,hist_upstreak,MACD柱连续改善天数,0.015611597075774978,0.0012586742847618107,12.403206504476485,2806
5,rvol20,VOL/VOL20,-0.008460895411063053,0.0011908888151543236,-7.104689626265935,2806
5,vt_5_20,VOL5/VOL20,-0.010168503920173693,0.0011584003441168428,-8.778056715725596,2806
5,rs_sz20,相对同规模20日强弱,-0.03582594711306452,0.003533681040977435,-10.138421294287182,2806
5,hv20,20日历史波动,0.02147316350053956,0.002361321929877883,9.093704347907385,2806
10,ret20,过去20日涨幅,-0.09530819356306554,0.004103750433487335,-23.22465634979498,2801
10,ret60,过去60日涨幅,-0.1780108056930688,0.004092133273823505,-43.50073513777412,2801
10,px_ma60_pct,距MA60,-0.04415971183102271,0.008805869709573807,-5.014804134906964,2801
10,px_ma120_pct,距MA120,-0.010450404817044422,0.009005625877464016,-1.1604307084525762,2801
10,sl20,MA20斜率,-0.20403566200569961,0.002156630182608031,-94.60855349754847,2801
10,sl60,MA60斜率,-0.21909200992802674,0.0039770149661341936,-55.089561340271324,2801
10,hist_z,MACD柱Z,-0.014949070896020714,0.0016762775793103424,-8.918016371829713,2801
10,dhist3,MACD柱3日变化,0.001580672842335754,0.0012012128403765614,1.3158973907074103,2801
10,hist_upstreak,MACD柱连续改善天数,0.011761295959181342,0.0012588867461619524,9.34261639900392,2801
10,rvol20,VOL/VOL20,-0.009034833942925865,0.0011307084053280292,-7.990419015506278,2801
10,vt_5_20,VOL5/VOL20,-0.006674396836725548,0.0011575702153596911,-5.765867804962152,2801
10,rs_sz20,相对同规模20日强弱,-0.03982605311530852,0.0038622766861241818,-10.3115484342149,2801
10,hv20,20日历史波动,0.008486177947883795,0.0023976984425397945,3.5393016057910502,2801
20,ret20,过去20日涨幅,-0.05333288730266883,0.004297624597253439,-12.409852488454492,2791
20,ret60,过去60日涨幅,-0.12581712708136242,0.003963681821839115,-31.742489114069283,2791
20,px_ma60_pct,距MA60,-0.0341517934246855,0.005393547781904944,-6.331971979420094,2791
20,px_ma120_pct,距MA120,0.002206382345522836,0.005688342706488552,0.38787788629649017,2791
20,sl20,MA20斜率,-0.1333496764121187,0.0019884903837331736,-67.06076001321628,2791
20,sl60,MA60斜率,-0.1491018148236602,0.003772900087510768,-39.51915273802878,2791
20,hist_z,MACD柱Z,-0.014501373512872144,0.0016921495573159074,-8.569794230170922,2791
20,dhist3,MACD柱3日变化,0.00020639445383023136,0.0012058974566381156,0.1711542326373522,2791
20,hist_upstreak,MACD柱连续改善天数,0.008162305201085863,0.0012505583246262472,6.5269288447824465,2791
20,rvol20,VOL/VOL20,-0.007625721717267719,0.0010923033803927338,-6.981322088855862,2791
20,vt_5_20,VOL5/VOL20,-0.004148964768881378,0.0011368498903611066,-3.6495273510238975,2791
20,rs_sz20,相对同规模20日强弱,-0.03594383619285561,0.004143511788732862,-8.674727628528768,2791
20,hv20,20日历史波动,-0.005516567277239092,0.002388629859705786,-2.309511142893685,2791
