factor,factor_cn,group,ic5,icir5,ic_pos5,n_day5,t5,ic10,icir10,ic_pos10,n_day10,t10,ic20,icir20,ic_pos20,n_day20,t20
ret5,过去5日涨幅,价格,-0.036305314623346956,-0.2651333087769891,0.38657811953862287,2861.0,-14.181534329588635,-0.032645914896935205,-0.2463870251820695,0.4100140056022409,2856.0,-13.167306216708381,-0.036110262129746856,-0.27384677754029707,0.3977512297962052,2846.0,-14.60915452180438
ret10,过去10日涨幅,价格,-0.042469480365349734,-0.2938617333503956,0.3746498599439776,2856.0,-15.704428532866402,-0.04395103916567578,-0.3099646100072327,0.38091897579796563,2851.0,-16.550484811984337,-0.05227249930301454,-0.3719888343679892,0.36149243224216826,2841.0,-19.827388721491985
ret20,过去20日涨幅,价格,-0.056643592768033574,-0.37506687324032534,0.353829936753338,2846.0,-20.009035550442523,-0.06316577158293765,-0.4240616348421418,0.34424498416050686,2841.0,-22.602922719903212,-0.07006117970225043,-0.4637357887935347,0.3306252207700459,2831.0,-24.67405613996896
ret40,过去40日涨幅,价格,-0.05666645614180274,-0.3616061322781743,0.36801132342533616,2826.0,-19.22303096784521,-0.06476249948330494,-0.4096164174077228,0.3431407302375044,2821.0,-21.755992373262004,-0.07203210042805847,-0.45609236114674734,0.3400924937744575,2811.0,-24.181499125794964
ret60,过去60日涨幅,价格,-0.053647319711514624,-0.3396587914780269,0.37312900926585885,2806.0,-17.992300395642808,-0.0616692371632878,-0.39063591294196554,0.34737593716529813,2801.0,-20.674200409217477,-0.06724319567034627,-0.4236757476130672,0.3324973127911143,2791.0,-22.382754059126334
px_ma20_pct,距MA20,价格,-0.050257445672214573,-0.3337296960211663,0.36611830591529576,2857.0,-17.83815663369474,-0.05289058710234673,-0.36008533208190713,0.36746143057503505,2852.0,-19.230040173574587,-0.06119611265520763,-0.41789790559982776,0.34658691062631947,2842.0,-22.27830941324816
px_ma60_pct,距MA60,价格,-0.06394719225329501,-0.3882856386072072,0.35706732463870283,2837.0,-20.68145053642508,-0.07133891615350398,-0.4348099196178866,0.341454802259887,2832.0,-23.139078950404574,-0.07851896704029954,-0.47949922798420996,0.32778171509567683,2822.0,-25.47219771038403
px_ma120_pct,距MA120,价格,-0.059564781366622584,-0.3645226925158927,0.363021018881368,2807.0,-19.312823692013918,-0.06754291073505363,-0.4083412563708489,0.3418986438258387,2802.0,-21.615103834957036,-0.07378267559509781,-0.44043397724311323,0.3420487106017192,2792.0,-23.272257960112995
sl5,MA5斜率,趋势,-0.12457350059379836,-0.9317284081628157,0.14645228940929744,2861.0,-49.83658397039824,-0.0843178937279688,-0.6499972972108096,0.21988795518207283,2856.0,-34.736867520044996,-0.04773238594221808,-0.3708054272866331,0.3236120871398454,2846.0,-19.781696295319655
sl20,MA20斜率,趋势,-0.024801891672406335,-0.16328159614499205,0.4146170063246662,2846.0,-8.710732658879031,0.004328371952225867,0.029090217917376635,0.4857444561774023,2841.0,1.5505386327541113,0.0283946630060799,0.18856982172830072,0.5566937477922995,2831.0,10.033261352833717
