factor,factor_cn,group,decile,n,exw,t
ret5,过去5日涨幅,价格,1,1039966,-0.003269662452087394,-5.560481356976576
ret5,过去5日涨幅,价格,2,1041311,2.0901077336324904e-05,0.05210432673838715
ret5,过去5日涨幅,价格,3,1041780,0.0008349987283546149,2.499260551300821
ret5,过去5日涨幅,价格,4,1041495,0.001071508683525918,3.680796993009238
ret5,过去5日涨幅,价格,5,1040971,0.0011137479929592077,3.9989497285613225
ret5,过去5日涨幅,价格,6,1041885,0.000914547904593645,3.215597873267091
ret5,过去5日涨幅,价格,7,1041602,0.00043466890964699513,1.4329181496208936
ret5,过去5日涨幅,价格,8,1041464,-0.0008096190744805306,-2.2534450135780273
ret5,过去5日涨幅,价格,9,1041623,-0.004094313354199435,-8.832730150297639
ret5,过去5日涨幅,价格,10,1043058,-0.01450271815769044,-20.991306939210386
ret10,过去10日涨幅,价格,1,1038879,-0.001221225104169949,-2.1520158192391112
ret10,过去10日涨幅,价格,2,1040305,0.0008969561548033421,2.1849861990192165
ret10,过去10日涨幅,价格,3,1040428,0.00133105872618537,3.9870668664371918
ret10,过去10日涨幅,价格,4,1040411,0.0013884510864872063,4.577633900886255
ret10,过去10日涨幅,价格,5,1040051,0.0013970224685936408,4.8516127323039315
ret10,过去10日涨幅,价格,6,1040758,0.001160967733849262,4.088181498578263
ret10,过去10日涨幅,价格,7,1040685,7.606472656876682e-05,0.24392440538454735
ret10,过去10日涨幅,价格,8,1040281,-0.002118039949054244,-5.650433113347376
ret10,过去10日涨幅,价格,9,1040527,-0.0060680314178996695,-12.157410622998249
ret10,过去10日涨幅,价格,10,1041975,-0.015450396116867795,-20.24351527898094
ret20,过去20日涨幅,价格,1,1036713,0.0018453975665577399,3.139902883817817
ret20,过去20日涨幅,价格,2,1038120,0.0020104690478777087,4.741835161681421
ret20,过去20日涨幅,价格,3,1038415,0.0018593996548205826,5.199640388955783
ret20,过去20日涨幅,价格,4,1038137,0.001728525812809623,5.622585042843002
ret20,过去20日涨幅,价格,5,1037873,0.0011870534749348716,4.030668990943349
ret20,过去20日涨幅,价格,6,1038583,0.0004690880094599819,1.5556723507986445
ret20,过去20日涨幅,价格,7,1038493,-0.0007426751778319356,-2.257519654222811
ret20,过去20日涨幅,价格,8,1038086,-0.0035862923544419827,-9.306308872599898
ret20,过去20日涨幅,价格,9,1038379,-0.00784581936661518,-14.965921148416967
ret20,过去20日涨幅,价格,10,1039782,-0.016279086339608822,-19.459760882739246
ret40,过去40日涨幅,价格,1,1032368,0.003826884397236387,6.348839963499385
ret40,过去40日涨幅,价格,2,1033753,0.0020014421596626615,4.609425934711664
ret40,过去40日涨幅,价格,3,1034031,0.001274202920787891,3.503161791274014
ret40,过去40日涨幅,价格,4,1033795,0.0007282992426184688,2.3133241124500916
ret40,过去40日涨幅,价格,5,1033448,-0.00017593072321192096,-0.5945375322792157
ret40,过去40日涨幅,价格,6,1034324,-0.0008771058967983008,-3.137567310448865
ret40,过去40日涨幅,价格,7,1034045,-0.0023167421708487354,-7.450212870809598
ret40,过去40日涨幅,价格,8,1033764,-0.0042190266554677095,-11.33931360188489
ret40,过去40日涨幅,价格,9,1034010,-0.00740036628795679,-14.12929549314967
ret40,过去40日涨幅,价格,10,1035411,-0.014014900877534566,-15.85002392330584
ret60,过去60日涨幅,价格,1,1027972,0.0021971292070422327,3.5264364047249765
ret60,过去60日涨幅,价格,2,1029373,0.0011981340660967537,2.757335607874279
ret60,过去60日涨幅,价格,3,1029635,0.000612212552598819,1.6469092067889097
ret60,过去60日涨幅,价格,4,1029366,0.00016021298872746155,0.5079459100366644
ret60,过去60日涨幅,价格,5,1029105,-0.00011379081021466552,-0.3861511358219605
ret60,过去60日涨幅,价格,6,1029873,-0.0005522438447674633,-1.9659912253628005
ret60,过去60日涨幅,价格,7,1029635,-0.0015943208865009163,-5.349804587062934
ret60,过去60日涨幅,价格,8,1029400,-0.0035511909313611866,-9.885182062915941
ret60,过去60日涨幅,价格,9,1029607,-0.006584803433080746,-12.472220446394422
ret60,过去60日涨幅,价格,10,1031011,-0.013897583981108049,-15.486300921416264
px_ma20_pct,距MA20,价格,1,1039092,0.0002539299416545159,0.42893599707753716
px_ma20_pct,距MA20,价格,2,1040516,0.0010579427595876028,2.535400388107453
px_ma20_pct,距MA20,价格,3,1040792,0.0016400489959047392,4.720650131788322
px_ma20_pct,距MA20,价格,4,1040520,0.001995652910475695,6.506689724544043
px_ma20_pct,距MA20,价格,5,1040222,0.0017011571049515696,5.9285355475542625
px_ma20_pct,距MA20,价格,6,1041081,0.001140985199197454,3.973575777734167
px_ma20_pct,距MA20,价格,7,1040762,-5.346066259739056e-05,-0.16445867990113536
px_ma20_pct,距MA20,价格,8,1040524,-0.002831603723307735,-7.401416310905964
px_ma20_pct,距MA20,价格,9,1040767,-0.006870411234095634,-13.415320794943105
px_ma20_pct,距MA20,价格,10,1042195,-0.016563814810216595,-20.928542061494067
px_ma60_pct,距MA60,价格,1,1034766,0.0036919840063685465,5.846446361354807
px_ma60_pct,距MA60,价格,2,1036175,0.002429474465164295,5.397161202621732
px_ma60_pct,距MA60,价格,3,1036423,0.0013270809473281886,3.6318323510068145
px_ma60_pct,距MA60,价格,4,1036192,0.0012616165865511958,4.014183306174422
px_ma60_pct,距MA60,价格,5,1035857,0.0008524294740688779,2.954202357030198
px_ma60_pct,距MA60,价格,6,1036732,1.5197760492576253e-05,0.05498831786345102
