variant,year,n_day,ret,mdd
S ret20 D2~D6 | 全环境,2015,244,1.096490434873115,-0.5127579066638034
S ret20 D2~D6 | 全环境,2016,244,0.1269610977081268,-0.25868394757387847
S ret20 D2~D6 | 全环境,2017,244,-0.14624310636583604,-0.20815391407960004
S ret20 D2~D6 | 全环境,2018,243,-0.2510001420200093,-0.3548831421781804
S ret20 D2~D6 | 全环境,2019,244,0.4824446892419225,-0.1750692620426756
S ret20 D2~D6 | 全环境,2020,243,0.20671127110894272,-0.19806503088124694
S ret20 D2~D6 | 全环境,2021,243,0.3107947066169716,-0.11504661890026802
S ret20 D2~D6 | 全环境,2022,242,-0.019137820415838114,-0.3031572733567863
S ret20 D2~D6 | 全环境,2023,242,0.14241254460327668,-0.09040682143455236
S ret20 D2~D6 | 全环境,2024,242,0.11240177386478267,-0.34786322557903415
S ret20 D2~D6 | 全环境,2025,243,0.5385337872808191,-0.1744049144004597
S ret20 D2~D6 | 全环境,2026,175,0.0016400574296997483,-0.23263055833576218
S ret20 D2~D6 | 市场 Close>MA60,2015,244,0.29287095340679925,-0.4493926016383436
S ret20 D2~D6 | 市场 Close>MA60,2016,244,0.01495193361796443,-0.12850034247948683
S ret20 D2~D6 | 市场 Close>MA60,2017,244,-0.05407712096583106,-0.09898669423193995
S ret20 D2~D6 | 市场 Close>MA60,2018,243,-0.14828264325171903,-0.1567186648731803
S ret20 D2~D6 | 市场 Close>MA60,2019,244,0.3015164796785774,-0.1509834491365647
S ret20 D2~D6 | 市场 Close>MA60,2020,243,-0.02927076428870501,-0.17832220495275253
S ret20 D2~D6 | 市场 Close>MA60,2021,243,0.25620732340391705,-0.09000587521384007
S ret20 D2~D6 | 市场 Close>MA60,2022,242,0.01685587537526745,-0.08448325981859761
S ret20 D2~D6 | 市场 Close>MA60,2023,242,0.05443408413274864,-0.07516872617412673
S ret20 D2~D6 | 市场 Close>MA60,2024,242,0.22419603757008644,-0.15343464692321718
S ret20 D2~D6 | 市场 Close>MA60,2025,243,0.3023642380670053,-0.09367241241367463
S ret20 D2~D6 | 市场 Close>MA60,2026,175,-0.06292483884125166,-0.16474771001695476
S ret20 D2~D6 | 市场 Close<MA60,2015,244,0.6215774895001878,-0.33098543665692726
S ret20 D2~D6 | 市场 Close<MA60,2016,244,0.11035908241574388,-0.25868394757387847
S ret20 D2~D6 | 市场 Close<MA60,2017,244,-0.09743498909140469,-0.17107021349805218
S ret20 D2~D6 | 市场 Close<MA60,2018,243,-0.1206004526671256,-0.3250575894774883
S ret20 D2~D6 | 市场 Close<MA60,2019,244,0.13901338353243875,-0.09915904419085231
