tag,n,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings,exw1,t1,mean1,med1,win1,pf1,payoff1,exw5,t5,mean5,med5,win5,pf5,payoff5,exw10,t10,mean10,med10,win10,pf10,payoff10,exw20,t20,mean20,med20,win20,pf20,payoff20,exw40,t40,mean40,med40,win40,pf40,payoff40,exw60,t60,mean60,med60,win60,pf60,payoff60
S ret20 D2~D6 | 基线,5246722,0.18382301185228234,-0.5127579066638034,0.6898804793166569,0.22007432475070865,1839.0947368421052,0.0001972069956144685,3.8790482919086364,0.0007906935629843047,0.0,0.4876598326407729,1.0864659408356516,1.0744184671514208,0.0007996561856080382,6.912790505185699,0.003873499535497016,0.0,0.4975184564858606,1.1922045356630633,1.1742382835786123,0.0012756002283006319,7.5914055357427905,0.007497965277209034,0.0012594429426826537,0.5040731526876444,1.2674850763991663,1.2258760853597732,0.0014506789311825024,5.276245427058765,0.01426089587835731,0.0012874937383458018,0.5028826104846577,1.3649051652349746,1.3349664575610787,-0.0005143061786043975,-1.1403850717228907,0.025189157946480713,-0.0021918691927567124,0.4914717261673076,1.4744177575629416,1.5148843621561023,-0.00360289803637144,-5.883251438024436,0.03405460689307309,-0.0058681252412498,0.4831263954664729,1.5423274443732653,1.6408887503097778
S ret20 D2~D6 | 量比>=0.5,4909883,0.19648776111870125,-0.5120572102241627,0.7241587022640378,0.23052382038234792,1720.9449122807018,0.00023897878889545942,4.488803088303446,0.0008383195961493296,0.0,0.48689469453032025,1.0918514950377978,1.0828700415000134,0.0009254445698212064,7.74812838557847,0.003978347521822192,0.0,0.49817828218189397,1.1981094302082742,1.1768453319529615,0.001469889838743834,8.509620077618171,0.007796564000960513,0.001650142832659185,0.5064558446279807,1.279473419709383,1.2255921237578191,0.0017230673338566147,6.134008663747423,0.014794001635305367,0.0019831873942166567,0.505746922934557,1.3802902680666949,1.3345780030229817,-0.00018552181307400573,-0.4046455345737204,0.025337326733707716,-0.001893905340693891,0.4923920670871995,1.4780086822058474,1.512940446760345,-0.0033512714509330915,-5.429026798905389,0.03350855085310871,-0.0058554597198963165,0.4831172009580092,1.5333730013230527,1.6313502881942878
S ret20 D2~D6 | 量比>=0.7,3895690,0.21850371585530293,-0.500178858378429,0.7821763282152743,0.24853301782698703,1365.3480701754386,0.0003109704432530978,5.297448385257613,0.001059977130719536,0.0,0.4875132412736088,1.1159176765322945,1.1037157314073258,0.0011157955745518323,8.62665257565416,0.0045763796062640895,0.0005556380492635071,0.5011538533812087,1.2298414588809545,1.19345258924505,0.0018355533980084517,9.90390443265854,0.008985133778326477,0.002619620645418763,0.5127138839995015,1.326852340887196,1.2391942253643247,0.002145853181803075,7.234189723717736,0.016536615958372785,0.003649642807431519,0.5128177928736382,1.4302716829187998,1.344146461911391,0.00036171189742228445,0.7452834979761321,0.02633652860375479,-0.0012936757993884385,0.49417680175340584,1.498900389522011,1.5233236220667459,-0.0028733233389121463,-4.5303957545419715,0.03324964417317646,-0.005841118050739169,0.4830961160516291,1.5294173557252608,1.6271622883682324
S ret20 D2~D6 | 量比>=0.9,2643434,0.2128650516779873,-0.47619357001871243,0.7686280107939345,0.24351562350228775,926.4971929824561,0.0002909134411743124,4.379667378985738,0.0014226495552666586,0.0,0.489110655223958,1.1533229029729173,1.134375082131899,0.0009600731702083067,6.472892144528658,0.005581513025260529,0.0012047772761434317,0.5055332852238551,1.281585528246757,1.2222501232778435,0.0017583784064565135,8.549113759524442,0.010782096097349,0.003810353809967637,0.520458984170876,1.3980567688877177,1.2656072652746402,0.001983203991176899,6.1924541451548745,0.019117522906563024,0.005571022164076567,0.5207563700136075,1.5043930319364813,1.3694394283084208,0.00011322210628204226,0.2128106249379379,0.027928650510862164,-0.0008202777244150639,0.49540852012493664,1.5290183973226286,1.546303874640999,-0.0032771324231650424,-4.929874597762243,0.03341700884293037,-0.006273314822465181,0.48189080390164646,1.530309675045946,1.635924735242742
S ret20 D2~D6 | 量比>=1.0,2119675,0.20161718784089877,-0.4609501723976942,0.7399678164258121,0.23393711167890718,742.9764912280701,0.00025262339947135145,3.545245458855694,0.0016239025392399435,0.0,0.4896620185380473,1.1730084638912486,1.151916166347254,0.0007901104493885911,4.991855887570744,0.006221591965930744,0.0014285616925917566,0.5074484452972143,1.3143354756010688,1.2439540822054864,0.0015417070550374085,7.1633283092340605,0.01181909704311704,0.004347822163254023,0.5237958063586883,1.4392025467982574,1.285498637112889,0.0017001002081712593,5.0742021742222585,0.02072156235237941,0.006510438863188028,0.5245710030789036,1.5512083640455525,1.3906843064459296,-0.00019023700358410895,-0.3417253627284052,0.029092724772858795,-0.0003166388487443328,0.4962477403399834,1.5510505234984269,1.5634430604381486,-0.003700686765062779,-5.36857172249454,0.03401921622280825,-0.006600622553378344,0.48109403897101777,1.538981627950514,1.6504452421819582
S ret20 D2~D6 | 量比>=1.1,1694615,0.18927784641828138,-0.4786989932409512,0.7068802748456018,0.22363887289873366,594.0157894736842,0.00021145625439785245,2.729132747088804,0.001826197140240525,0.0,0.48982158309927376,1.191939556411005,1.1709709667622492,0.0005419263759662608,3.156157572898863,0.0068795970526395744,0.0015773142804391682,0.5087368444705679,1.347535352813711,1.2690764080189756,0.00122039817001557,5.2957802533586005,0.012822228277179588,0.004807703197002411,0.5265659612309548,1.4789141072321925,1.3064054384070598,0.0013019329815431113,3.6721282117775234,0.022290653097852175,0.007288691122084856,0.5277865586529721,1.5971483890687128,1.4135077333669157,-0.0006759795746090492,-1.1502125580965568,0.030200028955335783,0.0,0.49701292002063363,1.5715646677102608,1.5793806704083142,-0.004248070359233057,-5.971108067342022,0.03465708883148726,-0.006979041965678334,0.4801986490412551,1.5474086575117536,1.6654237648583894
S ret20 D2~D6 | 量比>=1.2,1356901,0.16707595338970505,-0.5244106636473329,0.6473329675153694,0.20471466953318102,475.66245614035086,0.00013580686985568385,1.6194866810925306,0.001997086456804006,0.0,0.4891770516907906,1.206496743339084,1.189342088650238,0.00026603519774442947,1.4331553702236737,0.007501978388350392,0.0017035517375916243,0.5097834056840409,1.378262108748343,1.2928742243243223,0.000838893658368426,3.4505751391628996,0.013787795841918754,0.005194823257625103,0.528861325239799,1.5168539680920343,1.3278166148938249,0.0007369183233687224,1.9618075223902791,0.023774285858401977,0.007984431460499763,0.530433018224953,1.6405952688478618,1.4365800273594331,-0.0012335169574106332,-1.9943521827923978,0.03132885550145605,0.0,0.4977597674289795,1.5926789859014094,1.59584988800832,-0.004912913312525415,-6.617959759161257,0.03529618135345827,-0.007435931358486414,0.47904240419212285,1.5556083603177995,1.6820999897701725
S ret20 D2~D6 | 量比>=1.5,727329,0.12455406029346006,-0.6426887619612518,0.5277795771477796,0.16855109905262408,255.0916110916111,-2.2314523735286805e-05,-0.21656929421367704,0.002462376055122424,0.0,0.4864686359658537,1.2409547675958816,1.240133417451013,-0.0005221014007163724,-2.245457636394743,0.009054285058167692,0.0016666207229718566,0.509199555997477,1.4497910157919844,1.3640914789779726,-0.00032243652890208386,-1.0773545920239025,0.016251734885313993,0.0058188349939882755,0.5321440689889184,1.6133516914572106,1.3937785897699184,-0.0007848128014343868,-1.7615322652517371,0.028087913113699133,0.009727328550070524,0.5372708853602224,1.769079981734242,1.5069658343444883,-0.0029434615842827802,-4.217768200404511,0.03501403631046728,0.0010327881900593638,0.5014878254879706,1.664977005203549,1.6436164266814295,-0.0068205832225431955,-8.368183901263839,0.037553025601734256,-0.008426939137279987,0.47688929731398144,1.5870917396955584,1.7312331568240384
S ret20 D2~D6 | 量比>=2.0,301667,0.025915698499720863,-0.7953121810982038,0.24139058672788113,0.07887195819863342,105.81642681642681,-0.00038093215417450054,-2.554480489572778,0.0025741372210865815,0.0,0.4754453993916496,1.2276117286971397,1.2864772754402864,-0.0018921995743551986,-5.9279512242710695,0.009188056347854289,0.0,0.49797324887707034,1.428053123316868,1.4071845070081308,-0.002212231501524858,-5.323915473468123,0.01756501324547831,0.004950473317876458,0.5261567409791158,1.652535882110967,1.4626606379621574,-0.00291829903915248,-4.936371693749395,0.031933465395852595,0.010498677380383015,0.5396974383469672,1.883401536897736,1.5884996938795597,-0.005975335966942895,-6.987198570532897,0.03969566329229147,0.002688148757442832,0.5060272932767719,1.7642048050605985,1.7101166855684016,-0.009770340581906642,-9.552823012265945,0.039553568065865984,-0.0101937185972929,0.47226093382509254,1.6168648851924063,1.797191733057565
S ret20 D2~D6 | 量比>=2.5,147178,-0.03765978977282991,-0.8666190698493899,0.05639367394692895,0.019156605354858056,51.77367124252024,-0.0007170265791198285,-3.6819585108430846,0.0018725263567050628,-0.0014306200901046395,0.4610813860995724,1.1477580913691772,1.2781036062574902,-0.00346399809352667,-8.424583690701498,0.006030117093553565,-0.0020345906959846616,0.47704293393209496,1.2522205142508962,1.3430770953293905,-0.004654710099176977,-8.560571632648845,0.015497889033830795,0.0021905689500272274,0.5087851969941614,1.5464393600081643,1.468206260087023,-0.005352304144416109,-6.8519192901806365,0.031690610911308634,0.008403315208852291,0.5313804667716104,1.8608090347986836,1.6225756266856115,-0.00779418613955313,-7.207288966648911,0.042612205990910375,0.003562072408385575,0.5084753924684581,1.8335692597818591,1.7604626532501646,-0.011188482601544161,-8.37051551524118,0.03898866876857885,-0.012862403877079487,0.4647534189805222,1.6070698107118213,1.8409161780142635
S ret20 D2~D6 | 量比<=0.5,336840,0.074634654379643,-0.8739070468191862,0.38123800479749426,0.132796602138293,119.53425630102946,-8.794851053820102e-05,-0.4046518318433725,9.699742942872619e-05,0.0,0.49880615808605167,1.0103168575702033,0.9579850404874061,-0.0006918134170896547,-1.2884143181094283,0.0023446705424561265,-1.238054028362967e-05,0.48789591109072333,1.110625478738618,1.1381821017053735,-0.0007618574033163769,-0.9495352504919482,0.0031473760362213036,-0.003991199191659689,0.46935596497824567,1.1049695993326765,1.2299850746520031,-0.0012080216395012379,-1.1261751136337048,0.00649986572744037,-0.008027106523513794,0.46118503866211114,1.1559083433565018,1.3369201990994013,-0.0025908497796104063,-1.373702872247784,0.02304106291999504,-0.006451558321714401,0.4781307870021293,1.4236780949672365,1.5437563123885885,-0.006423951868504795,-3.5782343715719516,0.041935042879415144,-0.006030097138136625,0.48325762472197187,1.6725273686956377,1.779605078911203
